"","","exp.dermal","exp.ingest","exp.inhal","dose.inhal","dose.intake","abs.dermal.ug","abs.ingest.ug","abs.inhal.ug","abs.tot.ug","abs.tot.mgkg","ddd.mass","conc.max.prod.aer","conc.max.prod.vap","exp.inhal.indir","abs.hm.ug"
"Statistic",Cohort,ug/day,ug/day,ug/m3,ug/day,mg/kg/day,ug/day,ug/day,ug/day,ug/day,mg/kg/day,g/day,ug/m3,ug/m3,ug/m3,ug/day
"85%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97.5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99.5%",Females,1.0834153338433e-19,2.76920266972425e-20,2.94175058100289e-22,2.45691535962226e-21,3.00055593679671e-25,1.13126691880575e-23,2.68992795989769e-20,3.93106457539562e-22,2.73036987257045e-20,2.71566215233514e-25,0,0,0,2.94175058100289e-22,2.68613131892852e-20
"mean",Females,9.30037022935797e-08,2.43500343852403e-08,1.91827761398038e-10,2.33890786369746e-09,2.77735173535487e-13,4.93436003088416e-12,2.36529593999887e-08,3.74225258191593e-10,2.40321190182112e-08,2.50757435706998e-13,0,0,0,1.91827761398038e-10,2.36309950341522e-08
"sd",Females,4.80345062949742e-06,1.32404228029467e-06,9.60201266869849e-09,1.36124502192969e-07,1.29248865487577e-11,2.01018728060091e-10,1.28613856572874e-06,2.1779920350875e-08,1.30790473303909e-06,1.16115262838747e-11,0,0,0,9.60201266869849e-09,1.28527209536891e-06
"0.5%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97.5%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99%",Females_Repro,6.48860475919278e-187,2.4103703279219e-187,5.87714339690954e-189,6.71501730114819e-188,4.89471933501884e-192,5.86639519257751e-191,2.34136800808101e-187,1.07440276818371e-188,2.44939492441864e-187,3.88814489076847e-192,0,0,0,5.87714339690954e-189,2.33942362176659e-187
"99.5%",Females_Repro,1.0834153338433e-19,2.76920266972425e-20,2.94175058100289e-22,2.45691535962226e-21,3.00055593679671e-25,1.13126691880575e-23,2.68992795989769e-20,3.93106457539562e-22,2.73036987257045e-20,2.71566215233514e-25,0,0,0,2.94175058100289e-22,2.68613131892852e-20
"mean",Females_Repro,1.7647165753225e-07,4.71595885868968e-08,3.7864080663553e-10,4.6330912314419e-09,5.30586033415015e-13,8.0182328582109e-12,4.58095383570454e-08,7.41294597030704e-10,4.65588511869343e-08,4.78046567608407e-13,0,0,0,3.7864080663553e-10,4.57674227543786e-08
"sd",Females_Repro,6.81260103542918e-06,1.88191733007377e-06,1.36599328308001e-08,1.93717386080961e-07,1.83355557753068e-11,2.68652482735166e-10,1.82804317637232e-06,3.09947817729537e-08,1.85902561008494e-06,1.64679570982945e-11,0,0,0,1.36599328308001e-08,1.82681451481514e-06
"0.5%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97.5%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99.5%",Age_0_5,1.84668339859882e-13,3.84417541767867e-14,3.97586073130618e-16,2.29701615132304e-15,2.39869740531653e-18,2.35024571072843e-17,3.73412717379581e-14,3.67522584211686e-16,3.77322967792771e-14,2.2197084818395e-18,0,0,0,3.97586073130618e-16,3.73004487647795e-14
"mean",Age_0_5,9.69372604819509e-08,3.07608936045836e-08,3.57389540106474e-09,2.35149031472055e-08,3.4776910642623e-12,8.1293174171122e-12,2.98802932277423e-08,3.76238450355288e-09,3.36508070487123e-08,2.15541242721394e-12,0,0,0,3.57389540106474e-09,2.98529988327669e-08
"sd",Age_0_5,2.75183046645057e-06,8.73243967059124e-07,1.01461495971877e-07,6.6758571881663e-07,9.87237514497934e-11,2.30764641470252e-10,8.4824537708474e-07,1.06813715010661e-07,9.55289856588199e-07,6.11848615192114e-11,0,0,0,1.01461495971877e-07,8.47470540746392e-07
"0.5%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97.5%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99.5%",Age_6_11,7.09518663308728e-46,1.76151954845148e-46,1.47006734345444e-48,7.92214968750403e-48,6.63277076108603e-51,8.32533198734535e-50,1.71109205443523e-46,1.26754395000065e-48,1.72460002713397e-46,6.20934760814098e-51,0,0,0,1.47006734345444e-48,1.70946355828293e-46
"mean",Age_6_11,3.25459231783766e-10,8.7929376371259e-11,1.58080250578536e-13,1.09217631147414e-12,2.70791923783039e-15,3.16230914683856e-14,8.54121984581826e-11,1.74748209835862e-13,8.56185697594869e-11,2.59925169819695e-15,0,0,0,1.58080250578536e-13,8.53575352811608e-11
"sd",Age_6_11,9.58441707655973e-09,2.5996404147462e-09,4.13104389065971e-12,2.73612573480255e-11,7.87379026811292e-14,9.27320336766605e-13,2.52521980921034e-09,4.37780117568409e-12,2.53042834525744e-09,7.58096100195896e-14,0,0,0,4.13104389065971e-12,2.52363681843944e-09
"0.5%",Age_12_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Age_12_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Age_12_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Age_12_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Age_12_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Age_12_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Age_12_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Age_12_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Age_12_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Age_12_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Age_12_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Age_12_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Age_12_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75%",Age_12_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80%",Age_12_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85%",Age_12_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90%",Age_12_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95%",Age_12_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97.5%",Age_12_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99%",Age_12_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99.5%",Age_12_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mean",Age_12_19,7.14023959840305e-11,1.98514704238543e-11,4.65215880386211e-13,3.5435418099952e-12,3.15149822366636e-16,6.58798816991101e-15,1.92831770393768e-11,5.66966689599232e-13,1.9856731717146e-11,2.67365606232364e-16,0,0,0,4.65215880386211e-13,1.92642201702232e-11
"sd",Age_12_19,2.39856215545537e-09,6.67532438832788e-10,1.56645571792557e-11,1.19130382961902e-10,1.0607708324629e-14,2.21273800180748e-13,6.48422808119643e-10,1.90608612739043e-11,6.67704942596623e-10,8.99953487351968e-15,0,0,0,1.56645571792557e-11,6.47784070635347e-10
"0.5%",Age_20_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Age_20_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Age_20_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Age_20_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Age_20_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Age_20_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Age_20_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Age_20_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Age_20_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Age_20_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Age_20_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Age_20_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Age_20_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75%",Age_20_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80%",Age_20_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85%",Age_20_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90%",Age_20_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95%",Age_20_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97.5%",Age_20_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99%",Age_20_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99.5%",Age_20_65,2.42544789483284e-24,6.34706202397968e-25,6.53748230822497e-27,6.28447294027283e-26,9.49948529655141e-30,1.91810907553966e-28,6.16536297186506e-25,1.00551567044365e-26,6.2037787095237e-25,8.95696276321561e-30,0,0,0,6.53748230822497e-27,6.15944506571727e-25
"mean",Age_20_65,6.38999608628976e-06,1.39121537078323e-06,2.89287581866305e-06,6.71777599063657e-05,9.06709798133594e-10,1.04069639121476e-09,1.35138867408426e-06,1.07484415850185e-05,1.2100870955494e-05,1.59917850106777e-10,1.14985721484966e-08,0,2.85583437638379e-05,3.891868460581e-10,1.35133242394454e-06
"sd",Age_20_65,0.000471899373698059,0.000101789675059505,0.000223171788000074,0.00518282055555271,6.98887698570392e-08,7.81143964582705e-08,9.88757146470354e-05,0.000829251288888433,0.000928132971676376,1.22744167576203e-08,8.8718023092083e-07,0,0.00220343862593678,1.51175411270909e-08,9.887559731896e-05
"0.5%",Age_66+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Age_66+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Age_66+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Age_66+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Age_66+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Age_66+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Age_66+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Age_66+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Age_66+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Age_66+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Age_66+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Age_66+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Age_66+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75%",Age_66+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80%",Age_66+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85%",Age_66+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90%",Age_66+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95%",Age_66+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97.5%",Age_66+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99%",Age_66+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99.5%",Age_66+,9.19465260611345e-15,2.69295198112393e-15,3.09421223319688e-17,3.63191289571759e-16,4.38006124117494e-20,9.70240397809705e-19,2.6158601202737e-15,5.81106063314815e-17,2.66123711050547e-15,3.92023010767449e-20,0,0,0,3.09421223319688e-17,2.61382875442446e-15
"mean",Age_66+,7.57698582418491e-08,1.82856689023066e-08,1.20209249603556e-10,9.22241236784523e-10,2.95946564481756e-13,4.02867893043256e-12,1.7762200139235e-08,1.47558597885524e-10,1.7913787416051e-08,2.75837357790955e-13,0,0,0,1.20209249603556e-10,1.77447631934988e-08
"sd",Age_66+,2.6077465677098e-06,6.28757670316131e-07,4.1401524700371e-09,3.17756917443637e-08,1.01561133735739e-11,1.38324755131789e-10,6.10758055332913e-07,5.08411067909819e-09,6.15980470187052e-07,9.46481808901009e-12,0,0,0,4.1401524700371e-09,6.10157229443342e-07
"Statistic",Cohort,ug/day,ug/day,ug/m3,ug/day,mg/kg/day,ug/day,ug/day,ug/day,ug/day,mg/kg/day,g/day,ug/m3,ug/m3,ug/m3,ug/day
