"person","gender","age","season","weekend","weight","exp.dermal","exp.inhal","exp.ingest","exp.diet","exp.nondiet","exp.drain","dose.inhal.ug","dose.intake.ug","dose.intake.mgkg","abs.dermal.ug","abs.inhal.ug","abs.ingest.ug","abs.tot.ug","abs.tot.mgkg","urine.tot.ug","exp.window","conc.inhal.max.prod.aer","conc.inhal.max.prod.vap","exp.inhal.indir","abs.hm.ug"
"1","F","25","F","0","74.391","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","M","47","S","1","82.967","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","F","75","F","0","85.128","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.8e-05","0","0","0","0"
"4","F","16","W","0","67.73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","M","45","S","1","86.161","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.643958","0","0","0","0"
"6","M","43","P","1","79.427","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","F","42","P","1","50.71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","F","28","P","0","34.236","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","F","39","W","0","44.954","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","F","36","W","0","74.079","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","F","41","P","0","60.748","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11.793952","0","0","0","0"
"12","M","42","F","0","75.824","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.211251","0","0","0","0"
"13","F","41","F","0","53.304","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.7e-05","0","0","0","0"
"14","F","37","P","0","68.852","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","F","8","S","0","33.39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.1e-05","0","0","0","0"
"16","F","64","S","0","78.08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2e-06","0","0","0","0"
"17","M","41","S","0","73.122","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","F","70","P","0","87.656","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","M","2","S","0","15.353","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","F","15","W","1","70.501","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.067256","0","0","0","0"
"21","F","35","W","1","61.083","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22","M","60","S","0","83.952","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","M","43","S","0","113.198","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24","F","43","W","0","57.571","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25","M","70","F","0","90.276","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26","F","26","W","1","75.676","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.9e-05","0","0","0","0"
"27","F","71","W","1","62.009","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.003051","0","0","0","0"
"28","F","13","S","1","62.517","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"29","F","82","F","0","51.718","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30","F","8","S","0","26.864","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14.163468","0","0","0","0"
"31","F","5","W","0","17.882","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32","F","36","F","0","66.485","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"33","F","36","S","0","48.438","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.023131","0","0","0","0"
"34","M","16","S","0","57.237","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.434697","0","0","0","0"
"35","M","4","P","0","12.957","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"36","F","58","S","1","56.897","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.012912","0","0","0","0"
"37","M","9","W","0","32.892","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.7e-05","0","0","0","0"
"38","M","37","S","0","65.655","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.072507","0","0","0","0"
"39","M","66","F","0","60.425","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40","F","84","P","0","79.681","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.222068","0","0","0","0"
