"person","gender","age","season","weekend","weight","exp.dermal","exp.inhal","exp.ingest","exp.diet","exp.nondiet","exp.drain","dose.inhal.ug","dose.intake.ug","dose.intake.mgkg","abs.dermal.ug","abs.inhal.ug","abs.ingest.ug","abs.tot.ug","abs.tot.mgkg","urine.tot.ug","exp.window","conc.inhal.max.prod.aer","conc.inhal.max.prod.vap","exp.inhal.indir","abs.hm.ug"
"1","M","40","W","0","69.588","7.1e-05","1e-06","1.8e-05","0","0","0","4e-06","2.2e-05","0","0","1e-06","1.7e-05","1.8e-05","0","7e-06","0.055677","0","0","1e-06","1.7e-05"
"2","F","47","S","1","119.072","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","M","38","P","0","73.008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","M","42","F","0","84.032","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","F","54","F","0","63.354","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","M","47","F","0","86.488","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16.917167","0","0","0","0"
"7","M","26","S","0","62.656","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","M","13","S","1","46.952","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","F","39","F","0","74.788","0.000155","0","5.3e-05","0","0","0","1e-06","5.4e-05","1e-09","0","0","5.1e-05","5.2e-05","1e-09","2e-05","0.048561","0","0","0","5.1e-05"
"10","M","64","F","0","87.679","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.528618","0","0","0","0"
"11","F","46","S","0","52.329","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","F","6","F","0","20.103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","M","32","P","0","79.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","M","12","F","0","56.647","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","M","37","S","0","76.032","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
