"","","exp.dermal","exp.ingest","exp.inhal","dose.inhal","dose.intake","abs.dermal.ug","abs.ingest.ug","abs.inhal.ug","abs.tot.ug","abs.tot.mgkg","ddd.mass","conc.max.prod.aer","conc.max.prod.vap","exp.inhal.indir","abs.hm.ug"
"Statistic",Cohort,ug/day,ug/day,ug/m3,ug/day,mg/kg/day,ug/day,ug/day,ug/day,ug/day,mg/kg/day,g/day,ug/m3,ug/m3,ug/m3,ug/day
"0.5%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85%",Total,7.93316019787658e-50,2.10477190855255e-50,5.36931663822857e-52,4.84351062994947e-51,5.72484703608115e-55,8.22760988165239e-54,2.04451803687829e-50,7.74961700791916e-52,2.63182291957952e-50,5.16864633767177e-55,0,0,0,2.44394229702428e-52,2.03919966353138e-50
"90%",Total,5.60226820428383e-19,1.50560988871396e-19,1.69175234238124e-21,1.62499151507476e-20,2.43503823435938e-24,5.47602671823579e-23,1.46250838937455e-19,2.59998642411961e-21,1.55659001587054e-19,2.05866023467538e-24,0,0,0,1.01041936716332e-21,1.46126670474901e-19
"95%",Total,3.51092317636298e-07,9.14249040426471e-08,1.02348361231863e-09,7.96645340868255e-09,1.53072610889403e-12,2.62588774630887e-11,8.88076587185179e-08,1.27463254538921e-09,9.00664624932632e-08,1.37761176374133e-12,0,0,0,6.56381449998271e-10,8.80886357659958e-08
"97.5%",Total,0.000861350320989381,0.000198805083792957,2.95492869115885e-06,2.04403456685457e-05,3.4580837505778e-09,8.0735664507706e-08,0.000193113837174557,3.27045530696731e-06,0.000198542995907474,2.96610538178147e-09,0,0,0,1.48275421830012e-06,0.000191732259501478
"99%",Total,0.12781461018287,0.0324447614678934,0.000325566291135461,0.00261112728198641,5.26506796731938e-07,1.31892134985832e-05,0.0315159565527172,0.000417780365117826,0.0325468964809035,4.82269506149793e-07,0,0,0,0.000159132853731576,0.0314811640452479
"99.5%",Total,1.05343333641973,0.2611301488613,0.00278143988083961,0.0258837038108547,4.20834097269083e-06,0.000107481693790259,0.253654705837837,0.00414139260973675,0.258918559052786,3.53514646980681e-06,0,0,0,0.00108712563562242,0.253417332729304
"mean",Total,0.0894543373437846,0.0228101852099492,0.461416674149175,4.45629650218642,6.9397047577421e-05,8.79078036610685e-06,0.0221571919013053,0.713007440349827,0.735173423031499,1.13757133410119e-05,0.00012477496,1.14796091682631,0.368383291469751,3.26308176222908e-05,0.0221543278665486
"sd",Total,1.8585605600238,0.479115545264834,22.6502852939239,173.17197709614,0.00289702312509535,0.000182484414882355,0.465399775653776,27.7075163353825,28.0278462245602,0.000467870999952069,0.00286752947070811,35.4070266412233,8.49708444626556,0.000713119199259744,0.465392811434825
"0.5%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85%",Males,4.25988778593177e-55,1.11750325049259e-55,3.2303809884032e-57,3.21346122068045e-56,4.68209022553272e-60,3.18153084521791e-59,1.08551218429812e-55,5.14153795308872e-57,2.26611515830893e-55,4.15849325920939e-60,0,0,0,3.01754698636804e-57,1.08434102841243e-55
"90%",Males,7.06115516487971e-20,1.89709946632547e-20,4.77789308390159e-22,3.45617603990979e-21,5.31818532031561e-25,8.57864820485452e-24,1.84279068952509e-20,5.52988166385566e-22,2.31363116019897e-20,2.71107342976774e-25,0,0,0,1.86580736720801e-22,1.83969080222343e-20
"95%",Males,5.56544041695251e-08,1.22481988914906e-08,1.4683852147252e-10,1.3541701246906e-09,1.77798243920611e-13,5.64556522214772e-12,1.18975664066831e-08,2.16667219950495e-10,1.24694990404232e-08,1.61731234816463e-13,0,0,0,9.03370750108128e-11,1.18807758783271e-08
"97.5%",Males,0.000540710347025076,0.000127922886403841,2.30713542983288e-06,1.73153584068385e-05,2.10272390352697e-09,5.57165924567449e-08,0.000124260803519582,2.77045734509416e-06,0.000131022304189735,1.79751574348333e-09,0,0,0,7.99038424591381e-07,0.000124091927855123
"99%",Males,0.124080774297291,0.0338130513289554,0.000503438132621595,0.00484148535951983,4.93140208222444e-07,1.4745143071695e-05,0.0328450760118146,0.000774637657523173,0.0337957506035813,3.96275730024637e-07,0,0,0,0.000124303442176227,0.0328238325361995
"99.5%",Males,1.05343333641973,0.228608660420698,0.00278143988083961,0.0239246560838063,3.69646430881618e-06,7.85515166917783e-05,0.222064218796101,0.00382794497340901,0.226817547275074,3.4328926747109e-06,0,0,0,0.00124110081870168,0.221861633845244
"mean",Males,0.0905179104729874,0.0250910266030164,0.300687290521566,4.34896884480455,5.52249952053867e-05,8.19360532002864e-06,0.0243727390341969,0.695835015168728,0.720215947808245,9.10440698423674e-06,0.000130314545079431,1.15372673847548,0.37553701311389,2.97188931322735e-05,0.0243698469409657
"sd",Males,1.90498181856509,0.528729995911083,8.36682260531687,149.64922821156,0.00178668378261983,0.000173514411978422,0.513593900073568,23.9438765138497,24.2435315917605,0.000289080177738956,0.00305373469938012,34.0345889174025,8.72994437913876,0.000620147722097121,0.513591603645402
"0.5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85%",Females,5.12687311466869e-45,1.54260293722778e-45,8.35784433433454e-48,8.56841957361256e-47,2.72778545256576e-50,4.56534022947047e-49,1.4984424279363e-45,1.37094713177801e-47,1.51065735395146e-45,2.54791445512258e-50,0,0,0,8.35784433433454e-48,1.49732878901483e-45
"90%",Females,2.26081511800482e-18,6.14423400183907e-19,1.1460501145182e-20,9.25350030581963e-20,1.0779185916544e-23,2.82261475278454e-22,5.96834136208122e-19,1.48056004893114e-20,5.99817954523504e-19,9.1667994357163e-24,0,0,0,6.11680197214496e-21,5.96255365737788e-19
"95%",Females,1.34309010742758e-06,3.23154132129667e-07,3.232106372303e-09,2.84104008457554e-08,5.46297094423544e-12,1.08980596985192e-10,3.13903111850828e-07,4.54566413532086e-09,3.16711628370837e-07,4.25009875970459e-12,0,0,0,2.30880124964942e-09,3.13436812174618e-07
"97.5%",Females,0.00100593043782884,0.000242287845997869,3.49467217815959e-06,2.53989338893553e-05,4.33259870858499e-09,8.57078910167801e-08,0.000235351806647634,4.06382942229685e-06,0.000240463551776646,3.61604046409384e-09,0,0,0,2.18585289021691e-06,0.000235184730683162
"99%",Females,0.12781461018287,0.03222167756553,0.000256474328540834,0.00208200746971634,5.41539178301555e-07,1.3089979880141e-05,0.031299258933243,0.000333121195154614,0.031989324190153,4.82269506149793e-07,0,0,0,0.00018121740814857,0.0312708507354936
"99.5%",Females,0.860499043883126,0.2611301488613,0.00277594241586561,0.0258837038108547,4.20834097269083e-06,0.000107481693790259,0.253654705837837,0.00414139260973675,0.258918559052786,3.53514646980681e-06,0,0,0,0.000643441241340918,0.253417332729304
"mean",Females,0.0884539222540804,0.0206647867561948,0.612601483472486,4.55725073376607,8.27275226108483e-05,9.3524934358412e-06,0.0200732103462644,0.729160117402571,0.749242680242272,1.35121429764261e-05,0.000119564331457403,1.14253748629389,0.361654378446436,3.53698236388081e-05,0.0200703727037891
"sd",Females,1.81399671562028,0.427262216011532,30.4927193718965,192.709510996702,0.00364494560995863,0.000190551882492786,0.415030865607143,30.8335217594723,31.173300826114,0.000588416577824389,0.00268089190969502,36.6543934554364,8.27291603429513,0.000790705844381427,0.415018382306661
"0.5%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
