"person","gender","age","season","weekend","weight","exp.dermal","exp.inhal","exp.ingest","exp.diet","exp.nondiet","exp.drain","dose.inhal.ug","dose.intake.ug","dose.intake.mgkg","abs.dermal.ug","abs.inhal.ug","abs.ingest.ug","abs.tot.ug","abs.tot.mgkg","urine.tot.ug","exp.window","conc.inhal.max.prod.aer","conc.inhal.max.prod.vap","exp.inhal.indir","abs.hm.ug"
"1","F","60","F","0","56.282","0.008613","1.6e-05","0.001985","0","3e-06","0","1e-04","0.002086","3.7e-08","1e-06","1.6e-05","0.001928","0.001945","3.5e-08","0.001352","9.375714","0","0","1.6e-05","0.001925"
"2","F","27","W","0","77.236","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","M","15","S","0","56.928","0.793047","0.037464","0.257448","0","2e-06","0.00016","0.689186","0.946846","1.6632e-05","7.6e-05","0.11027","0.250078","0.360423","6.331e-06","0.240691","5.311232","4.170934","0.334038","4.6e-05","0.250076"
"4","M","20","S","0","67.258","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","F","28","F","0","49.64","18.062375","0.637999","4.984034","0","4e-06","0.006202","6.191009","11.178164","0.000225184","0.002177","0.990561","4.841354","5.834093","0.000117528","3.972819","449.195629","87.742667","7.027059","0.001708","4.841351"
"6","F","25","P","0","66.684","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","F","18","P","0","60.406","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","F","42","P","0","51.461","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","F","6","F","0","22.213","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","M","46","S","1","72.36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","F","12","W","0","38.193","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","M","28","F","0","74.995","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","M","45","W","0","91.628","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","F","50","P","0","75.003","0.60392","0.191243","0.097371","0","1.5e-05","0.001002","1.583317","1.680803","2.241e-05","7.4e-05","0.253331","0.094583","0.347988","4.64e-06","0.213356","14.977108","0","1.250186","0.00034","0.094568"
"15","M","38","S","0","64.007","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","F","24","F","0","76.336","0.802947","0.153175","0.120942","0","1e-06","3e-05","2.7309","2.852019","3.7362e-05","7.7e-05","0.436944","0.117479","0.5545","7.264e-06","0.166455","3.19746","4.662448","0.373402","4e-06","0.117479"
"17","F","57","F","0","72.369","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
