"","","exp.dermal","exp.ingest","exp.inhal","dose.inhal","dose.intake","abs.dermal.ug","abs.ingest.ug","abs.inhal.ug","abs.tot.ug","abs.tot.mgkg","ddd.mass","conc.max.prod.aer","conc.max.prod.vap","exp.inhal.indir","abs.hm.ug"
"Statistic",Cohort,ug/day,ug/day,ug/m3,ug/day,mg/kg/day,ug/day,ug/day,ug/day,ug/day,mg/kg/day,g/day,ug/m3,ug/m3,ug/m3,ug/day
"0.5%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Total,0.002304,0.000537,8e-06,5.7e-05,1.1e-08,0,0.000521,9e-06,0.000566,9e-09,0,0,0,2e-06,0.000521
"70%",Total,0.218705,0.055279,0.018047,0.179866,3.932e-06,2e-05,0.053696,0.028779,0.092819,1.421e-06,9.4e-05,0,0.207809,1.4e-05,0.053676
"75%",Total,0.483505,0.116754,0.042364,0.460326,9.521e-06,4.1e-05,0.113411,0.073652,0.220213,3.291e-06,0.000167,2.2806,0.30545,2.4e-05,0.11341
"80%",Total,0.763759,0.189037,0.077225,0.845418,1.6602e-05,6.8e-05,0.183626,0.135267,0.35723,5.35e-06,0.00025,3.759004,0.419203,4.6e-05,0.183624
"85%",Total,1.11023,0.273126,0.133195,1.484379,2.7425e-05,0.000101,0.265307,0.237501,0.533951,8.253e-06,0.00036,5.522004,0.569996,9.5e-05,0.265304
"90%",Total,1.623173,0.410305,0.237794,2.6477,4.8092e-05,0.000153,0.398559,0.423632,0.866175,1.3423e-05,0.000539,7.980349,0.801692,0.000281,0.398554
"95%",Total,2.823481,0.698646,0.44744,5.147226,8.917e-05,0.000279,0.678646,0.823556,1.515573,2.3991e-05,0.000932,13.917515,1.281011,0.001093,0.67864
"97.5%",Total,4.379358,1.116476,0.764521,8.799064,0.000149497,0.000464,1.084515,1.40785,2.442467,3.9406e-05,0.001455,21.390348,1.959755,0.002526,1.084512
"99%",Total,7.454181,1.845408,1.346725,15.771386,0.000278616,0.000775,1.792579,2.523422,4.355463,6.7861e-05,0.002531,36.416884,3.326193,0.005194,1.792569
"99.5%",Total,10.69104,2.789603,1.965032,24.499535,0.000447574,0.001072,2.709744,3.919926,5.834093,0.000104993,0.003386,52.390323,4.341826,0.008132,2.709739
"mean",Total,0.5736612572,0.1444564003,0.0908438805,1.0656844845,1.91907654e-05,5.65633e-05,0.1403210075,0.1705095163,0.3108870948,5.0098135e-06,0.0001925775,2.762823798,0.2803550524,0.0002431638,0.1403182478
"sd",Total,1.70061404924158,0.438236216916235,0.353610853382088,4.4608451313531,7.91678533649953e-05,0.000180532449686058,0.425690705779648,0.713735217899911,1.04016112110582,1.82167334685872e-05,0.000574057983875005,8.32608169123683,0.736902997348305,0.00133126902145671,0.42568580510701
"0.5%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Males,0.001283,0.000302,5e-06,3.4e-05,6e-09,0,0.000294,5e-06,0.000342,5e-09,0,0,0,2e-06,0.000289
"70%",Males,0.199373,0.04927,0.015885,0.162187,3.379e-06,1.8e-05,0.04786,0.02595,0.088261,1.228e-06,9e-05,0,0.203499,1.3e-05,0.047859
"75%",Males,0.462425,0.111778,0.039806,0.459034,8.536e-06,4e-05,0.108578,0.073445,0.210589,2.901e-06,0.000163,2.151207,0.297305,2.3e-05,0.108578
"80%",Males,0.757914,0.190218,0.076277,0.853633,1.5188e-05,6.7e-05,0.184772,0.136581,0.358977,4.957e-06,0.000246,3.695302,0.421542,4.3e-05,0.18477
"85%",Males,1.113935,0.272227,0.127967,1.51171,2.5378e-05,0.000101,0.264434,0.241874,0.529151,7.57e-06,0.000359,5.526138,0.578387,8.5e-05,0.264434
"90%",Males,1.619959,0.399096,0.22726,2.640467,4.4403e-05,0.00015,0.387671,0.422475,0.853709,1.223e-05,0.000538,7.970178,0.807798,0.000246,0.387671
"95%",Males,2.777113,0.695254,0.433159,5.39863,8.7776e-05,0.000271,0.675351,0.863781,1.534736,2.3008e-05,0.000932,13.689826,1.286435,0.000964,0.675348
"97.5%",Males,4.469186,1.128223,0.710842,9.037004,0.000143419,0.000469,1.095925,1.445921,2.505538,3.5976e-05,0.001452,21.447374,2.02714,0.002285,1.095912
"99%",Males,7.739468,1.929068,1.235788,15.8116,0.000253481,0.000738,1.873844,2.529856,4.414114,6.5157e-05,0.002542,37.867903,3.327411,0.004723,1.873841
"99.5%",Males,10.083203,2.766362,1.800224,25.625771,0.000392916,0.001014,2.687169,4.100123,5.692631,9.0928e-05,0.003263,51.03778,4.341627,0.008534,2.686839
"mean",Males,0.56011658783645,0.139890595644134,0.0849776765974933,1.07482405157181,1.76616983768235e-05,5.43534004520238e-05,0.135885904869529,0.171971846928293,0.307912114855147,4.52898212451202e-06,0.00018811444421615,2.70088584076433,0.27790481323197,0.000233128210396548,0.135883169303472
"sd",Males,1.54276263319053,0.383980130180585,0.322575448986893,4.58510710859563,7.38102060850584e-05,0.000156802001531168,0.372987816252451,0.73361713468123,1.01939063524478,1.58449049878071e-05,0.000518433946947763,7.58659696308489,0.691200522284006,0.00131528169231034,0.372981615708413
"0.5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Females,0.003281,0.000792,1.2e-05,8.7e-05,1.8e-08,0,0.00077,1.4e-05,0.000894,1.5e-08,0,0,0,3e-06,0.000769
"70%",Females,0.238205,0.060334,0.019916,0.197861,4.476e-06,2.2e-05,0.058607,0.031658,0.097064,1.605e-06,9.7e-05,0,0.212241,1.5e-05,0.058606
"75%",Females,0.496738,0.121666,0.044894,0.463349,1.0337e-05,4.3e-05,0.118183,0.074136,0.223347,3.622e-06,0.000169,2.375318,0.309022,2.6e-05,0.118148
"80%",Females,0.765373,0.188059,0.079467,0.840056,1.7674e-05,6.8e-05,0.182675,0.134409,0.350366,5.741e-06,0.000256,3.778745,0.416683,5.1e-05,0.182675
"85%",Females,1.107042,0.273205,0.139152,1.457371,2.9721e-05,0.000102,0.265384,0.233179,0.540606,8.985e-06,0.000361,5.512862,0.561667,0.000107,0.265382
"90%",Females,1.623173,0.418463,0.243817,2.6477,5.2959e-05,0.000155,0.406483,0.423632,0.875965,1.4461e-05,0.000541,7.990416,0.790987,0.000313,0.406483
"95%",Females,2.861144,0.705311,0.463501,4.895059,9.0051e-05,0.000288,0.68512,0.783209,1.489821,2.4758e-05,0.000932,14.005341,1.276104,0.001223,0.685102
"97.5%",Females,4.331034,1.105269,0.784525,8.623233,0.000161774,0.000448,1.073628,1.379717,2.336461,4.2582e-05,0.001462,21.261777,1.896182,0.002679,1.073618
"99%",Females,7.060976,1.724642,1.392207,15.702301,0.000294297,0.000814,1.67527,2.512368,4.165831,7.4579e-05,0.002525,34.519402,3.244135,0.00551,1.675263
"99.5%",Females,10.930046,2.954162,2.150113,23.49888,0.000460634,0.001115,2.869592,3.759821,6.200545,0.00012195,0.003701,53.050574,4.341826,0.007722,2.869549
"mean",Females,0.586504020845509,0.148785597895967,0.0964060886421196,1.05701854393142,2.06405938047925e-05,5.86586791350088e-05,0.144526276251705,0.169122965906877,0.313707906682252,5.4657274498344e-06,0.000196809273329437,2.82155203448276,0.282678316384181,0.000252679329826612,0.14452349366842
"sd",Females,1.83786506660269,0.484094936561434,0.380656554038195,4.34016783020077,8.39140732262458e-05,0.00020044818158504,0.470236620183228,0.694426849290039,1.05957079489571,2.02011844449309e-05,0.000622245164289293,8.97147295366353,0.777821105200183,0.00134631151103962,0.47023264012633
"0.5%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Females_Repro,0.060952,0.014787,0.003723,0.036119,8.5e-07,6e-06,0.014364,0.005779,0.022696,3.55e-07,3.2e-05,0,0.108445,7e-06,0.014364
"70%",Females_Repro,0.446237,0.102819,0.040085,0.403452,8.891e-06,3.8e-05,0.099875,0.064552,0.203851,3.231e-06,0.000146,2.064878,0.287238,2e-05,0.099875
"75%",Females_Repro,0.657829,0.163071,0.066664,0.758212,1.4946e-05,5.8e-05,0.158402,0.121314,0.305534,4.973e-06,0.000219,3.227787,0.37678,3.5e-05,0.158389
"80%",Females_Repro,0.930159,0.22551,0.112531,1.182991,2.3864e-05,8.4e-05,0.219054,0.189279,0.446374,6.837e-06,0.000295,4.630287,0.488098,6.6e-05,0.219054
