"person","gender","age","season","weekend","weight","exp.dermal","exp.inhal","exp.ingest","exp.diet","exp.nondiet","exp.drain","dose.inhal.ug","dose.intake.ug","dose.intake.mgkg","abs.dermal.ug","abs.inhal.ug","abs.ingest.ug","abs.tot.ug","abs.tot.mgkg","urine.tot.ug","exp.window","conc.inhal.max.prod.aer","conc.inhal.max.prod.vap","exp.inhal.indir","abs.hm.ug"
"1","F","34","F","1","57.699","2.379762","0.103667","0.729207","0","2.3e-05","0.004296","0.751938","1.48157","2.5677e-05","0.000209","0.12031","0.708331","0.82885","1.4365e-05","0.371303","87.641012","0","5.361382","0.000588","0.708309"
"2","F","49","S","0","66.895","1.664953","0.00523","0.373269","0","7e-06","0.003052","0.083391","0.456933","6.831e-06","0.000155","0.013343","0.362583","0.376081","5.622e-06","0.233271","31.584412","0","5.070517","7.9e-05","0.362577"
"3","M","68","S","0","81.843","0.407899","0.003861","0.069984","0","3e-05","0.000459","0.029308","0.099374","1.214e-06","5e-05","0.004689","0.06798","0.07272","8.89e-07","0.046285","18.535591","0","1.14011","0.000382","0.067951"
"4","F","26","F","1","46.438","0.874929","0.023132","0.229927","0","7.9e-05","0.001557","0.154346","0.3844","8.278e-06","7.3e-05","0.024695","0.223345","0.248113","5.343e-06","0.16967","47.551706","0","3.866644","0.00105","0.223268"
"5","M","16","W","1","62.811","0.837132","0.002023","0.163299","0","1e-06","0.001562","0.025915","0.189419","3.016e-06","7e-05","0.004146","0.158625","0.162841","2.593e-06","0.108808","50.087474","0","1.949215","0.000141","0.158624"
"6","M","14","S","1","81.991","0.052008","0.000458","0.011186","0","1.2e-05","0","0.007945","0.019138","2.33e-07","5e-06","0.001271","0.010865","0.012142","1.48e-07","0.004294","14.561796","0","0","0.000458","0.010854"
"7","F","22","W","0","78.759","2.27792","0.074361","0.613216","0","9.4e-05","0.003578","0.878581","1.492039","1.8944e-05","0.000111","0.140573","0.595661","0.736346","9.349e-06","0.286966","49.823855","0","5.944389","0.000447","0.59557"
"8","F","53","F","1","56.414","2.228895","0.021771","0.534991","0","8e-06","0.004102","0.346009","0.881491","1.5625e-05","0.000273","0.055361","0.519675","0.57531","1.0198e-05","0.247917","107.319373","0","5.119424","0.000187","0.519667"
"9","M","78","S","0","86.473","0.763719","0.001463","0.231354","0","9e-06","0.001345","0.023766","0.255233","2.952e-06","6.1e-05","0.003803","0.224731","0.228595","2.644e-06","0.134914","52.557316","0","3.374475","0.000131","0.224721"
"10","F","51","P","1","77.189","0.308463","0.002138","0.095839","0","6.5e-05","0","0.015838","0.111762","1.448e-06","4.3e-05","0.002534","0.093095","0.095673","1.239e-06","0.063355","79.613078","0","0","0.002138","0.093032"
"11","F","15","P","1","54.475","1.585097","0.006334","0.479061","0","2.8e-05","0.002794","0.09376","0.573076","1.052e-05","8.9e-05","0.015002","0.465346","0.480437","8.819e-06","0.268578","30.201367","0","3.48764","0.000726","0.465319"
"12","F","41","S","0","56.351","2.877746","0.00977","0.921672","0","2.5e-05","0.005228","0.109783","1.032486","1.8322e-05","0.00035","0.017565","0.895287","0.913201","1.6206e-05","0.575093","109.37656","0","6.52474","0.000348","0.895262"
"13","F","15","P","1","58.353","1.73813","0.03877","0.468146","0","1.4e-05","0.003149","0.400895","0.869356","1.4898e-05","0.000162","0.064143","0.454744","0.51905","8.895e-06","0.231844","26.916552","0","4.365127","0.000108","0.454731"
"14","F","19","W","1","53.814","1.761955","0.015567","0.346511","0","4.2e-05","0.003011","0.124797","0.471584","8.763e-06","9e-05","0.019968","0.336592","0.356649","6.627e-06","0.141379","55.195673","0","3.758198","0.000882","0.336551"
"15","F","16","W","0","55.529","0.910152","0.034212","0.116338","0","3e-05","0.001468","0.258287","0.374847","6.751e-06","8.9e-05","0.041326","0.113008","0.154423","2.781e-06","0.062948","71.86961","0","3.68251","0.000753","0.112979"
"16","F","26","S","0","65.361","0.008128","9.9e-05","0.001887","0","2e-06","0","0.000828","0.002717","4.2e-08","1e-06","0.000133","0.001833","0.001966","3e-08","0.000838","30.745495","0","0","9.9e-05","0.001831"
"17","M","6","S","1","23.018","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","53.972411","0","0","0","0"
"18","F","37","F","0","84.257","0.033475","4.3e-05","0.007456","0","5.9e-05","0","0.00033","0.007791","9.2e-08","3e-06","5.3e-05","0.007243","0.007299","8.7e-08","0.003848","51.864034","0","0","4.3e-05","0.007186"
"19","M","14","W","1","49.413","0.004833","9.3e-05","0.001034","0","2e-06","0","0.000749","0.001784","3.6e-08","0","0.00012","0.001004","0.001124","2.3e-08","0.000495","12.209851","0","0","9.3e-05","0.001003"
"20","F","16","P","1","52.554","0.815603","0.035062","0.15073","0","1.2e-05","0.001441","0.291264","0.442125","8.413e-06","7.2e-05","0.046602","0.146415","0.19309","3.674e-06","0.108062","54.651766","0","1.797952","0.000428","0.146403"
