"","","exp.dermal","exp.ingest","exp.inhal","dose.inhal","dose.intake","abs.dermal.ug","abs.ingest.ug","abs.inhal.ug","abs.tot.ug","abs.tot.mgkg","ddd.mass","conc.max.prod.aer","conc.max.prod.vap","exp.inhal.indir","abs.hm.ug"
"Statistic",Cohort,ug/day,ug/day,ug/m3,ug/day,mg/kg/day,ug/day,ug/day,ug/day,ug/day,mg/kg/day,g/day,ug/m3,ug/m3,ug/m3,ug/day
"0.5%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75%",Total,0.003562,0.000915,1.4e-05,0.000112,1.7e-08,0,0.000889,1.8e-05,0.000982,1.5e-08,0,0,0,5e-06,0.000888
"80%",Total,0.049728,0.011394,0.000824,0.006236,3.52e-07,4e-06,0.011067,0.000998,0.015021,2.26e-07,0,0,0,1.4e-05,0.01105
"85%",Total,0.205023,0.050548,0.012454,0.135163,3.043e-06,2e-05,0.049101,0.021626,0.082909,1.22e-06,0.00016,0,0.418335,3.3e-05,0.049099
"90%",Total,0.649471,0.162557,0.046695,0.512099,1.1223e-05,5.8e-05,0.157904,0.081936,0.281343,3.982e-06,0.000355,4.629544,0.745925,7.6e-05,0.157904
"95%",Total,2.021,0.512548,0.132329,1.541206,3.0475e-05,0.000178,0.497875,0.246593,0.784083,1.0845e-05,0.000733,11.17581,1.329741,0.000363,0.497873
"97.5%",Total,3.478431,0.830638,0.257466,3.160611,5.8028e-05,0.000343,0.806859,0.505698,1.29138,1.8925e-05,0.001217,17.74343,1.941991,0.001325,0.806858
"99%",Total,5.550557,1.414328,0.540424,6.396364,0.00011467,0.00056,1.373839,1.023418,2.335026,3.4739e-05,0.001941,27.235462,2.860129,0.00454,1.373838
"99.5%",Total,7.475194,2.031869,0.775052,9.674253,0.000167392,0.000751,1.973702,1.54788,3.297454,5.064e-05,0.002642,35.656836,3.810593,0.007968,1.97368
"mean",Total,0.3061803435,0.0773859035,0.0265487713,0.3174416366,5.8277454e-06,2.96745e-05,0.0751705545,0.0507906601,0.1259908955,1.8655948e-06,0.0001215526,1.6082708154,0.2088934849,0.0001868576,0.0751677375
"sd",Total,1.18089344447415,0.301960342317287,0.14140709605048,1.71553862017562,3.04450986944078e-05,0.000122435369855811,0.2933160463593,0.274486183368824,0.525014679179911,8.13194715804715e-06,0.000445252240184122,5.92224759541487,0.614461385333265,0.00160675472440466,0.293309975249619
"0.5%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75%",Males,0.000403,9.9e-05,2e-06,1.6e-05,2e-09,0,9.6e-05,2e-06,9.9e-05,1e-09,0,0,0,1e-06,9.6e-05
"80%",Males,0.010203,0.00258,3.9e-05,0.000367,5.1e-08,1e-06,0.002506,5.9e-05,0.002743,3.9e-08,0,0,0,9e-06,0.002487
"85%",Males,0.125169,0.031541,0.006715,0.074249,1.58e-06,1.2e-05,0.030638,0.01188,0.051749,6.83e-07,9.9e-05,0,0.30568,2.5e-05,0.030633
"90%",Males,0.533867,0.130729,0.036267,0.44287,8.594e-06,5e-05,0.126987,0.070859,0.24697,3.162e-06,0.00029,3.898883,0.692298,6e-05,0.126985
"95%",Males,1.916426,0.487525,0.121695,1.477618,2.7032e-05,0.000167,0.473568,0.236419,0.752448,9.671e-06,0.000711,10.515479,1.227617,0.000267,0.473565
"97.5%",Males,3.213458,0.811027,0.251592,3.269543,5.6569e-05,0.000322,0.78781,0.523127,1.296845,1.7531e-05,0.001118,16.648643,1.823555,0.001176,0.787784
"99%",Males,5.125608,1.319189,0.520058,6.665756,0.000105052,0.000529,1.281424,1.066521,2.255861,3.2947e-05,0.001872,25.224686,2.882701,0.003187,1.281415
"99.5%",Males,6.779977,1.971857,0.695746,9.593812,0.000146101,0.000741,1.915408,1.53501,3.297454,4.1863e-05,0.002453,35.432452,3.922973,0.006541,1.9154
"mean",Males,0.281460705548805,0.0717099967598218,0.0250012750101256,0.317787057715674,5.24741616038882e-06,2.76626164439044e-05,0.0696571336573512,0.0508459272985014,0.120530732077764,1.62719481571486e-06,0.000109547995139733,1.46708516403402,0.190647365127582,0.000153847306601863,0.0696549878493317
"sd",Males,1.12799620939313,0.291491942754509,0.150397624910689,1.84877908770376,3.11351480756343e-05,0.00011914279097911,0.283147326269804,0.295804659776969,0.533147979019287,7.83114107103787e-06,0.00042873229788999,5.63319302223625,0.607134462545834,0.00141134045067338,0.283143238714836
"0.5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Females,0.001282,0.000319,4e-06,3.4e-05,6e-09,0,0.00031,5e-06,0.000356,5e-09,0,0,0,2e-06,0.00031
"75%",Females,0.012124,0.002892,5e-05,0.000376,7e-08,1e-06,0.002809,6e-05,0.003063,4.9e-08,0,0,0,8e-06,0.002782
"80%",Females,0.1041,0.024754,0.003929,0.037717,1.167e-06,9e-06,0.024046,0.006035,0.035204,5.43e-07,7.8e-05,0,0.242522,2e-05,0.024038
"85%",Females,0.285054,0.071379,0.019054,0.198904,4.727e-06,2.5e-05,0.069336,0.031825,0.118413,1.868e-06,0.000208,1.866226,0.496372,4.3e-05,0.069327
"90%",Females,0.770096,0.192433,0.054371,0.592941,1.3306e-05,6.9e-05,0.186925,0.094871,0.315432,4.932e-06,0.000406,5.314026,0.807053,9.5e-05,0.18692
"95%",Females,2.08613,0.537146,0.141629,1.603071,3.3682e-05,0.000187,0.521769,0.256491,0.812044,1.2176e-05,0.000757,11.519809,1.40037,0.000492,0.521764
"97.5%",Females,3.692515,0.840492,0.266335,3.061874,5.8719e-05,0.000369,0.816431,0.4899,1.278114,2.0918e-05,0.001307,18.724034,2.04718,0.00155,0.81641
"99%",Females,5.963411,1.520367,0.562958,6.231942,0.000121836,0.000576,1.476843,0.997111,2.36371,3.7086e-05,0.002,28.262631,2.85262,0.00539,1.476791
"99.5%",Females,7.671302,2.075273,0.829929,9.683718,0.000197576,0.000751,2.015864,1.549395,3.288253,5.5197e-05,0.002836,36.089125,3.652779,0.008919,2.015533
"mean",Females,0.330294443105492,0.0829227718293165,0.0280583597392335,0.317104677005136,6.39385875148163e-06,3.16370999604899e-05,0.0805489172263927,0.0507367467404188,0.13131730541288,2.09815487949427e-06,0.00013326313709996,1.7459979482418,0.226692643224022,0.000219059265112604,0.0805454454760964
"sd",Females,1.22993842090779,0.311763133428238,0.132045830182247,1.57492175484915,2.97487102209544e-05,0.00012554483856906,0.302838212366839,0.25198748310916,0.516954468758816,8.40929412418056e-06,0.0004605381424554,6.1886865139623,0.621069186669781,0.00177634432414369,0.302830346528753
"0.5%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Females_Repro,0.012662,0.00307,5.3e-05,0.000439,7e-08,1e-06,0.002982,7e-05,0.003294,5.5e-08,0,0,0,8e-06,0.002979
"75%",Females_Repro,0.084761,0.020126,0.003043,0.031071,9.27e-07,7e-06,0.01955,0.004971,0.028526,4.72e-07,4.8e-05,0,0.199785,1.7e-05,0.019549
"80%",Females_Repro,0.205125,0.051505,0.010906,0.120565,2.905e-06,2e-05,0.050031,0.01929,0.075881,1.223e-06,0.00016,0,0.408541,3.2e-05,0.050031
"85%",Females_Repro,0.453001,0.114504,0.034091,0.362401,9.093e-06,4.3e-05,0.111226,0.057984,0.201926,3.276e-06,0.000297,3.538278,0.64393,6.2e-05,0.111224
"90%",Females_Repro,1.165506,0.290623,0.070617,0.793584,1.808e-05,0.000103,0.282303,0.126973,0.455863,7.308e-06,0.000511,6.638785,0.948385,0.00015,0.2823
"95%",Females_Repro,2.647809,0.64583,0.176909,2.028754,4.3761e-05,0.000243,0.627342,0.324601,0.974907,1.49e-05,0.000898,13.671617,1.546636,0.000734,0.627338
"97.5%",Females_Repro,4.090276,1.026483,0.304196,3.638742,7.0211e-05,0.000422,0.997098,0.582199,1.47912,2.4931e-05,0.001438,20.548868,2.234328,0.002367,0.997068
