"","","exp.dermal","exp.ingest","exp.inhal","dose.inhal","dose.intake","abs.dermal.ug","abs.ingest.ug","abs.inhal.ug","abs.tot.ug","abs.tot.mgkg","ddd.mass","conc.max.prod.aer","conc.max.prod.vap","exp.inhal.indir","abs.hm.ug"
"Statistic",Cohort,ug/day,ug/day,ug/m3,ug/day,mg/kg/day,ug/day,ug/day,ug/day,ug/day,mg/kg/day,g/day,ug/m3,ug/m3,ug/m3,ug/day
"0.5%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75%",Total,0.00356176347115587,0.000915498032772546,1.41397895218594e-05,0.000112480186650731,1.69945478121159e-08,3.45791665967664e-07,0.000889289824291346,1.79968298641169e-05,0.000982135213689553,1.45980570636058e-08,0,0,0,4.6265582182856e-06,0.000888469479473248
"80%",Total,0.0497283093121818,0.0113936491431401,0.000824321555494712,0.00623621601822746,3.51834554189054e-07,4.25148949234698e-06,0.0110674800838787,0.000997794562916394,0.0150211354755681,2.26279972040392e-07,0,0,0,1.43055397552493e-05,0.0110501805305931
"85%",Total,0.205023265110679,0.0505477524930914,0.0124541365868667,0.135162919732289,3.04325095825895e-06,1.96842137671238e-05,0.0491007083835775,0.0216260671571663,0.0829093116101059,1.22036677483381e-06,0.000159596,0,0.418335335496179,3.34736544695648e-05,0.0490986377558349
"90%",Total,0.649471264356361,0.162557403464715,0.0466945545610067,0.512098524392477,1.12228891201691e-05,5.81469017329035e-05,0.157903828942808,0.0819357639027963,0.281342664644093,3.98205064144683e-06,0.00035479,4.62954441653577,0.745924721028859,7.57091086059519e-05,0.157903796411172
"95%",Total,2.02099951697163,0.51254772533652,0.132329240560521,1.54120583991941,3.04747942084554e-05,0.000178267471652686,0.49787488371227,0.246592934387105,0.784082960649951,1.08454497688312e-05,0.00073318,11.1758104703436,1.32974136487486,0.000363106958798434,0.497873323038375
"97.5%",Total,3.47843085209812,0.830638286469737,0.257466221906602,3.16061052856822,5.80284726613785e-05,0.000342563570232165,0.806859380775819,0.505697684570915,1.2913804987714,1.89250735177726e-05,0.0012169,17.7434303251376,1.94199108914856,0.00132491101288826,0.806858414683339
"99%",Total,5.55055749296698,1.41432777702063,0.540424164524689,6.39636392235961,0.000114669861123817,0.000560413028155479,1.37383943525035,1.02341822757754,2.33502600278268,3.47393141289032e-05,0.00194082,27.2354619278647,2.86012916630818,0.00453985900012444,1.37383790924762
"99.5%",Total,7.4751944595108,2.03186873230885,0.775052493105543,9.67425293569836,0.000167392386449057,0.000751012920735611,1.9737018794741,1.54788046971174,3.29745369633516,5.06403961588999e-05,0.00264199,35.6568364720702,3.81059256219144,0.00796776711048656,1.97368023368568
"mean",Total,0.306180344340577,0.0773859043554747,0.0265487694737663,0.317441636505328,5.82774643243251e-06,2.96779855744806e-05,0.0751705572523113,0.0507906618408525,0.125990897078738,1.86559603014907e-06,0.00012155409514,1.60827081369011,0.208893482792425,0.000186855310585783,0.075167737801923
"sd",Total,1.18089344744886,0.301960345191001,0.141407093282224,1.71553861925428,3.04450933692063e-05,0.000122432751445167,0.293316045152634,0.274486179080684,0.525014680469588,8.13194639397114e-06,0.000445252844099114,5.92224758927853,0.614461381060219,0.00160675372465202,0.293309977785242
"0.5%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75%",Males,0.000402588062211592,9.93106560668211e-05,2.01353938033444e-06,1.55266956598141e-05,1.76526275673755e-09,3.62661223041483e-08,9.6467663197987e-05,2.48427130557026e-06,9.90202649584389e-05,1.44805965239082e-09,0,0,0,1.15795061859753e-06,9.62376807207303e-05
"80%",Males,0.0102032352230365,0.00257999354432786,3.89542652389869e-05,0.000367405429183483,5.06348364794619e-08,1.00773914579266e-06,0.00250613537503708,5.87848686693572e-05,0.00274330106611499,3.91157475424245e-08,0,0,0,9.12578659588812e-06,0.00248738082815667
"85%",Males,0.125168800188346,0.031541075900679,0.00671534995559371,0.0742491175370176,1.58044446669365e-06,1.22555742797147e-05,0.0306381410353544,0.0118798588059228,0.0517487623633195,6.83080782387891e-07,9.9131e-05,0,0.305680384208613,2.48753796491186e-05,0.0306326582656986
"90%",Males,0.533867371800603,0.130729163099938,0.0362674303404934,0.442869569185599,8.59407160621667e-06,4.95267541548407e-05,0.126986744177725,0.0708591310696958,0.246970340750064,3.16179890441109e-06,0.00029019,3.89888329410375,0.69229849827828,5.99093746459912e-05,0.126985213487626
"95%",Males,1.91642601421382,0.487524543976682,0.121695303959238,1.47761813150274,2.70318869402275e-05,0.000167047696034003,0.473568047697222,0.236418901040439,0.752447601799276,9.67144056852725e-06,0.00071145,10.5154786004068,1.2276173005815,0.000267127791312983,0.473564927558424
"97.5%",Males,3.21345778849173,0.811027082053888,0.251591580898622,3.26954254402813,5.65691472216309e-05,0.000322434825054839,0.787809591584798,0.523126807044501,1.29684457610483,1.75314905195335e-05,0.001117946,16.6486434037204,1.82355508165763,0.00117561133497752,0.787784076826385
"99%",Males,5.1256083603738,1.31918891706256,0.520057869188325,6.66575598702571,0.00010505240316227,0.000528580036076764,1.28142414103157,1.06652095792411,2.25586126474971,3.29467091599617e-05,0.00187245,25.2246861495943,2.88270118784505,0.00318654436106895,1.2814149443721
"99.5%",Males,6.77997674218432,1.97185703484754,0.695746401551291,9.59381173765758,0.000146100683498381,0.000741074847250554,1.91540815302101,1.53500987802521,3.29745369633516,4.18627572606317e-05,0.00245332,35.4324523851877,3.92297259281933,0.00654084842607527,1.91540007651813
"mean",Males,0.281460706051561,0.0717099964430901,0.0250012736816183,0.317787057897235,5.24741529180799e-06,2.76691610947826e-05,0.0696571350827276,0.0508459292635576,0.12053073350738,1.62719545775638e-06,0.000109549640866748,1.46708516139315,0.190647363120538,0.000153844884879087,0.0696549878735843
"sd",Males,1.1279962101914,0.291491944334723,0.150397622436423,1.84877908616109,3.11351386121014e-05,0.000119143103315142,0.283147326023989,0.295804653785774,0.533147982796395,7.8311391423226e-06,0.00042873243105245,5.63319301418206,0.607134456868627,0.00141134039926877,0.283143238031435
"0.5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Females,0.00128207329863121,0.000318936427665575,4.30455596221638e-06,3.39509430038954e-05,6.47697578806509e-09,1.11661113852046e-07,0.000309806148747122,5.43215088062326e-06,0.000356317727972327,5.43533840763531e-09,0,0,0,1.76186351573367e-06,0.000309647244789966
"75%",Females,0.0121242844857538,0.00289196913974966,4.96168364584404e-05,0.000375996427471548,7.001101328762e-08,1.17370956216161e-06,0.00280917996115774,6.01594283954478e-05,0.00306254393734254,4.94548198711435e-08,0,0,0,8.11106476490041e-06,0.00278234176492139
"80%",Females,0.104100330262953,0.024754160418245,0.00392942173334135,0.0377174180547645,1.16661447718215e-06,8.91834746042009e-06,0.0240455164083243,0.00603478688876232,0.0352038514813012,5.42937106713042e-07,7.7567e-05,0,0.24252217431087,1.99524942585187e-05,0.0240380001267268
"85%",Females,0.285054164713914,0.0713789153240729,0.0190544392076536,0.198903697664813,4.72738575710759e-06,2.53723213248883e-05,0.0693355319119755,0.0318245916263701,0.11841316692549,1.86812978171795e-06,0.00020794,1.86622599146519,0.49637183671819,4.25009627141996e-05,0.0693266054079851
"90%",Females,0.770095916887222,0.192433461465558,0.0543712011737161,0.592941233987523,1.33058899103387e-05,6.8926496414419e-05,0.186924616993686,0.0948705974380037,0.315432466032052,4.93160543403021e-06,0.00040555,5.31402570354556,0.807052570178209,9.52531056332381e-05,0.186919853591095
"95%",Females,2.08613034592481,0.537146265416324,0.141629389437441,1.60307135244809,3.36816791513206e-05,0.000186661605715773,0.521769234767448,0.256491416391694,0.812043641575377,1.21759971596463e-05,0.0007568,11.5198092620175,1.40037037477772,0.000491612840661364,0.521763940751547
"97.5%",Females,3.69251549989915,0.840491671455144,0.26633542536356,3.06187392160128,5.8719038927339e-05,0.000369199595410931,0.816430690258387,0.489899827456205,1.2781135594046,2.09180392291853e-05,0.001306634,18.7240341652353,2.04718031992248,0.00155040170991347,0.816409501019398
"99%",Females,5.96341105069531,1.52036694759555,0.562958236171718,6.2319419085116,0.000121835679610392,0.000575761504815409,1.47684299396144,0.997110705361856,2.36370955499708,3.7086018532836e-05,0.0019995,28.2626309454091,2.85261964694841,0.00538983169198273,1.47679102192899
"99.5%",Females,7.67130210038821,2.0752734167954,0.829929018531813,9.68371808154838,0.000197576319443354,0.000751012920735611,2.01586400638067,1.54939489304774,3.2882528064237,5.51973759463669e-05,0.00283594,36.0891248803169,3.65277923667173,0.00891897215635508,2.01553271693253
"mean",Females,0.330294444275615,0.082922773828283,0.0280583574274658,0.317104676640999,6.39386163835978e-06,3.16376013944625e-05,0.0805489212731339,0.0507367482625598,0.131317307137088,2.09815668334446e-06,0.000133264485341762,1.74599794744009,0.226692641018379,0.000219057104765882,0.0805454460488879
