"person","gender","age","season","weekend","weight","exp.dermal","exp.inhal","exp.ingest","exp.diet","exp.nondiet","exp.drain","dose.inhal.ug","dose.intake.ug","dose.intake.mgkg","abs.dermal.ug","abs.inhal.ug","abs.ingest.ug","abs.tot.ug","abs.tot.mgkg","urine.tot.ug","exp.window","conc.inhal.max.prod.aer","conc.inhal.max.prod.vap","exp.inhal.indir","abs.hm.ug"
"1","F","10","F","1","31.426","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","F","49","P","0","52.043","1.453406","0.025976","0.395997","0","1.1e-05","0.00049","0.252617","0.648988","1.247e-05","0.000127","0.040419","0.38466","0.425206","8.17e-06","0.156023","330.107106","6.902126","0.552772","0.005834","0.38465"
"3","F","17","S","0","51.167","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","F","64","F","0","79.484","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","M","8","S","0","26.912","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","M","47","S","0","107.287","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20.643822","0","0","0","0"
"7","F","82","W","1","75.07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","F","34","F","1","60.202","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.627623","0","0","0","0"
"9","M","24","F","0","71.556","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","F","49","S","0","82.914","0.051847","0.010444","0.014265","0","0","6.7e-05","0.132836","0.147113","1.774e-06","5e-06","0.021254","0.013856","0.035115","4.24e-07","0.015769","1.097364","1.276641","0.238566","1.3e-05","0.013856"
"11","M","48","F","0","105.078","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","M","66","F","1","95.321","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","97.076981","0","0","0","0"
"13","M","54","F","0","91.621","0.177659","0.001103","0.045985","0","9e-06","0.000268","0.015914","0.061943","6.76e-07","2.1e-05","0.002546","0.044669","0.047237","5.16e-07","0.02153","26.256911","0","0.665734","7.2e-05","0.04466"
"14","F","1","S","1","11.04","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","39.736324","0","0","0","0"
"15","F","71","F","1","53.946","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","M","63","S","0","81.41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","F","50","W","0","96.521","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","F","5","F","1","20.501","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.171682","0","0","0","0"
"19","F","16","S","0","52.276","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","F","15","S","0","46.934","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21","M","1","F","0","11.933","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.072873","0","0","0","0"
"22","F","20","S","0","67.952","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","F","50","P","1","75.199","2.586971","0.14229","0.602662","0","3e-06","0.00108","1.508677","2.11174","2.8082e-05","0.000215","0.241388","0.58541","0.827013","1.0998e-05","0.438588","1286.914086","11.556327","0.925513","0.003275","0.585407"
"24","M","42","P","0","87.857","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25","F","30","P","0","58.189","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.522158","0","0","0","0"
"26","M","4","P","0","20.959","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.097438","0","0","0","0"
"27","M","43","F","0","88.38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"28","M","34","P","1","64.157","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"29","M","11","F","0","22.826","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30","F","40","W","0","56.494","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"31","M","6","S","0","21.39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.221323","0","0","0","0"
"32","M","25","S","0","93.055","0.000137","1e-06","5.2e-05","0","0","0","1.1e-05","6.3e-05","1e-09","0","2e-06","5e-05","5.2e-05","1e-09","2.5e-05","1.08993","0","0","1e-06","5e-05"
"33","M","14","P","0","50.844","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"34","M","16","S","0","64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35","M","52","W","1","88.14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14.652291","0","0","0","0"
"36","F","5","S","0","12.97","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","190.882163","0","0","0","0"
"37","F","45","P","0","49.631","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"38","F","41","S","0","42.438","4.157737","0.209824","1.296184","0","2.3e-05","0.000155","1.576936","2.874179","6.7726e-05","0.000676","0.25231","1.259078","1.512063","3.563e-05","1.006127","32.175171","23.868179","1.911534","0.000208","1.259056"
"39","M","32","P","0","64.342","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40","F","89","W","1","71.842","0.028502","7.3e-05","0.00711","0","6e-06","0","0.000545","0.00766","1.07e-07","3e-06","8.7e-05","0.006906","0.006996","9.7e-08","0.004525","7.449677","0","0","7.3e-05","0.006901"
"41","F","56","S","0","95.586","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"42","F","18","F","1","64.643","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","58.608039","0","0","0","0"
"43","M","38","W","1","81.507","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"44","M","24","P","0","81.809","1.751375","0.131602","0.57895","0","3e-06","0.000731","1.745103","2.324337","2.8412e-05","1e-04","0.279216","0.562376","0.841693","1.0289e-05","0.254575","14.586308","7.817953","0.626117","8.8e-05","0.562374"
"45","F","53","F","0","47.56","1.589424","0.038381","0.374383","0","2e-06","0.000546","0.269848","0.64447","1.3551e-05","0.00011","0.043176","0.363665","0.406951","8.557e-06","0.176973","83.276412","7.686721","0.615607","0.001191","0.363663"
"46","F","49","F","0","73.523","0.000798","9e-06","0.000191","0","2e-06","0","8.3e-05","0.000274","4e-09","0","1.3e-05","0.000185","0.000199","3e-09","0.000113","1.932213","0","0","9e-06","0.000183"
"47","M","4","P","0","19.463","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"48","M","57","F","0","107.561","0.021448","2.5e-05","0.00705","0","5e-06","0","0.000293","0.007347","6.8e-08","1e-06","4.7e-05","0.006848","0.006896","6.4e-08","0.003187","29.168158","0","0","2.5e-05","0.006843"
"49","M","73","S","1","73.398","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50","F","54","P","0","58.801","11.768065","0.358205","2.559427","0","1e-06","0.002984","3.209418","5.771995","9.8161e-05","0.001903","0.513507","2.486157","3.001567","5.1046e-05","1.931954","10850.398073","59.685709","4.780058","0.00762","2.486157"
"51","M","58","S","0","68.936","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.832868","0","0","0","0"
"52","F","66","P","1","45.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"53","M","32","W","1","93.679","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"54","F","90","P","0","59.346","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55","F","33","S","1","53.629","0.002567","2.6e-05","0.000584","0","1e-06","0","0.000227","0.000811","1.5e-08","0","3.6e-05","0.000567","0.000603","1.1e-08","0.000243","1.936102","0","0","2.6e-05","0.000566"
"56","M","7","F","0","21.563","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","427.899435","0","0","0","0"
"57","M","71","W","0","74.087","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"58","M","10","F","1","30.364","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"59","M","4","W","0","16.664","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13.492722","0","0","0","0"
"60","F","12","P","0","59.459","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.685444","0","0","0","0"
"61","M","20","F","0","58.509","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"62","M","42","F","0","96.423","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"63","M","5","P","0","25.301","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.43613","0","0","0","0"
"64","F","6","W","0","24.695","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.021649","0","0","0","0"
"65","F","55","S","0","47.218","0.187507","0.033285","0.042335","0","0","0.000242","0.579917","0.622279","1.3179e-05","1e-05","0.092787","0.041123","0.13392","2.836e-06","0.041971","4.946175","4.619499","0.863246","1.8e-05","0.041123"
"66","F","12","P","0","44.994","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"67","F","40","F","0","55.475","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.691223","0","0","0","0"
"68","F","36","W","0","83.985","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"69","M","23","W","1","96.077","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.599288","0","0","0","0"
"70","F","44","F","1","68.452","3.409224","0.08557","1.28379","0","0","0.00013","0.807664","2.092273","3.0565e-05","0.000549","0.129226","1.247038","1.376814","2.0113e-05","0.776545","0.610686","19.880593","1.59218","5e-06","1.247038"
"71","F","81","F","0","66.488","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","72.760512","0","0","0","0"
"72","F","54","W","1","67.432","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"73","F","33","F","0","90.62","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"74","M","85","F","1","72.515","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"75","F","4","P","0","17.758","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76","F","41","S","0","62.647","0.202747","0.005231","0.060395","0","1e-06","0.000372","0.057249","0.117669","1.878e-06","1e-05","0.00916","0.058666","0.067835","1.083e-06","0.038947","11.679681","0","0.924047","1.5e-05","0.058665"
"77","F","9","S","1","41.047","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"78","M","28","S","0","75.749","2.093618","0.128953","0.603082","0","6e-06","0.000865","2.757559","3.361091","4.4372e-05","0.000209","0.441209","0.585817","1.027236","1.3561e-05","0.447575","15.177899","9.248521","0.740688","5.2e-05","0.585811"
"79","M","31","S","1","73.58","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80","F","89","S","0","62.337","0.114665","0.007701","0.024754","0","8e-06","0.000171","0.070321","0.09509","1.525e-06","5e-06","0.011251","0.024046","0.035301","5.66e-07","0.024446","7.860105","0","0.423752","0.000148","0.024038"
"81","F","10","F","0","29.642","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"82","F","36","F","1","52.855","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"83","M","69","P","0","76.183","7e-06","0","1e-06","0","0","0","0","1e-06","0","0","0","1e-06","1e-06","0","1e-06","0.011978","0","0","0","1e-06"
"84","M","53","F","0","83.014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"85","F","79","S","0","72.404","1.022788","0.345575","0.229306","0","0.000204","0.001509","2.135557","2.365096","3.2665e-05","0.000105","0.341689","0.222742","0.564536","7.797e-06","0.239446","37.624345","11.820897","2.208971","0.001103","0.222544"
"86","F","12","W","1","32.512","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.693824","0","0","0","0"
"87","M","29","P","0","58.231","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"88","M","33","F","1","71.475","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"89","F","18","F","1","54.867","2.071864","0.135813","0.412616","0","6e-06","0.000316","1.575677","1.988551","3.6243e-05","9e-05","0.252108","0.400804","0.653002","1.1902e-05","0.276788","1028.915646","10.901475","0.873068","0.005867","0.400798"
"90","F","60","F","0","54.625","0.01848","5.3e-05","0.004351","0","6e-06","0","0.000248","0.004603","8.4e-08","3e-06","4e-05","0.004226","0.004269","7.8e-08","0.001328","10.191192","0","0","5.3e-05","0.00422"
"91","M","11","W","1","24.209","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.474443","0","0","0","0"
"92","F","0","W","0","10.996","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"93","M","3","F","0","12.149","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"94","M","28","S","0","88.384","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.155321","0","0","0","0"
"95","M","23","S","0","82.788","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"96","M","17","P","0","60.249","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"97","M","48","P","0","70.825","1.536499","0.1159","0.380103","0","6e-06","5.7e-05","1.663964","2.044508","2.8867e-05","0.00027","0.266234","0.369222","0.635726","8.976e-06","0.429803","16.438245","8.786483","0.703684","6.7e-05","0.369216"
"98","F","49","W","0","72.474","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"99","M","8","W","1","17.716","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100","M","25","W","0","85.372","0.013511","5.8e-05","0.004844","0","3e-06","0","0.000444","0.00529","6.2e-08","1e-06","7.1e-05","0.004705","0.004777","5.6e-08","0.002192","13.476912","0","0","5.8e-05","0.004702"
"101","F","10","F","0","46.967","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19.30652","0","0","0","0"
"102","F","42","S","0","61.84","0.001553","1e-06","0.000376","0","0","0","9e-06","0.000386","6e-09","0","2e-06","0.000365","0.000367","6e-09","0.000162","0.321507","0","0","1e-06","0.000365"
"103","F","18","F","0","62.89","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"104","M","39","W","0","60.399","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.073443","0","0","0","0"
"105","F","7","W","0","16.239","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
