"","","exp.dermal","exp.ingest","exp.inhal","dose.inhal","dose.intake","abs.dermal.ug","abs.ingest.ug","abs.inhal.ug","abs.tot.ug","abs.tot.mgkg","ddd.mass","conc.max.prod.aer","conc.max.prod.vap","exp.inhal.indir","abs.hm.ug"
"Statistic",Cohort,ug/day,ug/day,ug/m3,ug/day,mg/kg/day,ug/day,ug/day,ug/day,ug/day,mg/kg/day,g/day,ug/m3,ug/m3,ug/m3,ug/day
"99.5%",Males,1.70619241135789e-12,5.64655632514237e-13,2.34698541591326e-14,1.25915124694677e-13,6.82954055239563e-18,2.83052645653636e-16,5.48491083812586e-13,2.01464199511483e-14,5.50636101900458e-13,6.51634236413143e-18,0,0,0,1.62304813790425e-15,5.48136531566598e-13
"mean",Males,1.41848520682617,0.304579067798219,0.136360227364007,1.87378545244483,3.10464212423593e-05,7.71632486352673e-05,0.295859800883258,0.299805672391172,0.595742636523066,8.44319311215894e-06,0,8.26525796605707,0.661940876774236,0.000387417402158614,0.295859410587357
"sd",Males,78.0067504647067,16.9875545461728,8.14092739980888,115.02261874941,0.0019099566534408,0.00404480907774686,16.5012472520068,18.4036189999055,34.8067276259813,0.000502922450846404,0,455.039253950249,36.4427927069544,0.0269718814787473,16.5012472271554
"0.5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85%",Females,4.47737801937983e-282,1.00187790007644e-282,0,0,1.59718765817018e-287,3.8485002140487e-286,9.73196871895103e-283,0,9.74046811000731e-283,1.55085123336502e-287,0,0,0,0,9.72117426054238e-283
"90%",Females,1.58707535564532e-281,4.0056076175663e-282,0,0,6.60874080015133e-287,1.52734006935337e-285,3.89093801066706e-282,0,3.89298677909565e-282,6.41718663651859e-287,0,0,0,0,3.88397044274665e-282
"95%",Females,2.59841410915386e-181,6.4730352695447e-182,4.18469225819092e-184,3.34073487741269e-183,9.47576076452481e-187,1.47315328599155e-185,6.28772994743863e-182,5.3451758038603e-184,6.34265485876323e-182,8.82607441349536e-187,0,0,0,4.18469225819092e-184,6.27884351333191e-182
"97.5%",Females,2.48370323233577e-87,7.05910671567792e-88,8.60990235275331e-90,6.24760779616691e-89,1.86693773174508e-92,4.33740869602686e-91,6.85702376861222e-88,9.99617247386706e-90,7.27755460145401e-88,1.4054710165706e-92,0,0,0,8.60990235275331e-90,6.85012916690561e-88
"99%",Females,7.93179257334293e-38,2.19332119275507e-38,8.56657564667937e-41,6.28860983245748e-40,4.49060602853527e-43,3.46037805416983e-42,2.13053239689947e-38,1.0061775731932e-40,2.14094021043682e-38,4.25934396805044e-43,0,0,0,8.56657564667937e-41,2.12896509244961e-38
"99.5%",Females,3.50732013584498e-20,8.74280068917559e-21,2.68405658372938e-22,1.86778539023787e-21,1.28282784933434e-25,2.11766593016576e-24,8.49251818176531e-21,2.98845662438059e-22,8.84598956917229e-21,1.03709750863952e-25,0,0,0,2.68405658372938e-22,8.48406979168663e-21
"mean",Females,0.0011665316633791,0.000448110744537764,7.10066585050745e-05,0.000704352974585635,1.89820076346952e-08,9.90659214695696e-08,0.000435282557698361,0.000112696475933702,0.000548078099553532,8.83044359534568e-09,0,0,0,7.10066585050745e-05,0.000433246801116331
"sd",Females,0.0562664011248603,0.0221214859254998,0.00440988282706789,0.0434579697327311,1.07473166630747e-06,4.74581119661134e-06,0.021488208196553,0.00695327515723697,0.0277098085361251,4.57123767081975e-07,0,0,0,0.00440988282706789,0.0213793480029951
"0.5%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85%",Females_Repro,7.83330390893807e-282,1.86523337667314e-282,0,0,2.79316843900117e-287,7.91967790616134e-286,1.81183683899419e-282,0,1.81226069200275e-282,2.71228644049635e-287,0,0,0,0,1.81015684460652e-282
"90%",Females_Repro,2.49828282892206e-281,6.08815972744158e-282,0,0,1.02917456854621e-286,2.41847926869916e-285,5.91387234102261e-282,0,5.91617040123317e-282,9.99427521624782e-287,0,0,0,0,5.90765956039733e-282
"95%",Females_Repro,1.43763116371196e-146,2.60478498943192e-147,3.86484939144854e-149,3.52956210009513e-148,5.80321849254965e-152,1.61576981748363e-150,2.53021710877248e-147,5.64729936015221e-149,2.58830587219148e-147,5.07309423270016e-152,0,0,0,3.86484939144854e-149,2.52658953730045e-147
"97.5%",Females_Repro,7.6162941450893e-75,1.6590457350171e-75,1.70366577052292e-77,1.55240868171289e-76,3.25379622749476e-80,9.78122254026709e-79,1.61155178642663e-75,2.48385389074062e-77,1.63736844758807e-75,2.93392602914749e-80,0,0,0,1.70366577052292e-77,1.61065020415559e-75
"99%",Females_Repro,1.0941571504303e-34,2.70594356245724e-35,2.40588126658906e-37,1.39452843836084e-36,7.53810458228825e-40,1.41808677973141e-38,2.62847978811306e-35,2.23124550137734e-37,2.65221032990656e-35,7.02110054063112e-40,0,0,0,2.40588126658906e-37,2.62679703038675e-35
"99.5%",Females_Repro,6.43735601753644e-19,1.20357477034523e-19,1.53668871137402e-21,1.26905747615807e-20,1.81320203154039e-24,5.10026883379174e-23,1.16911971159607e-19,2.03049196185292e-21,1.18993465809798e-19,1.62054055772662e-24,0,0,0,1.53668871137402e-21,1.16760947113446e-19
"mean",Females_Repro,0.00115832746806034,0.000478258750466883,0.000123388406764727,0.0012136895764477,2.90783888783083e-08,9.46344005400725e-08,0.00046456750855101,0.000194190332231632,0.000658852475183182,1.13202322746853e-08,0,0,0,0.000123388406764727,0.000460815601832304
"sd",Females_Repro,0.058136024653684,0.0240132956458001,0.00620009372249727,0.060986135348189,1.46096247122364e-06,4.75355098908964e-06,0.0233258605710356,0.00975778165571024,0.0330883937727562,5.6864080801146e-07,0,0,0,0.00620009372249727,0.0231373459473625
"0.5%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97.5%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99.5%",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mean",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sd",Age_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0.5%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97.5%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99.5%",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mean",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sd",Age_6_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0.5%",Age_12_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Age_12_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Age_12_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Age_12_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Age_12_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Age_12_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Age_12_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Age_12_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Age_12_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Age_12_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Age_12_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Age_12_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Age_12_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75%",Age_12_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80%",Age_12_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85%",Age_12_19,5.51112569164689e-282,1.32952586593287e-282,0,0,2.20163444444504e-287,4.71940633979483e-286,1.29146517128562e-282,0,1.2919538706656e-282,2.1352526419885e-287,0,0,0,0,1.29038674170172e-282
"90%",Age_12_19,1.50721359135341e-281,4.17314459292702e-282,0,0,6.91395519410728e-287,1.6249578045743e-285,4.05367885996154e-282,0,4.05615969988311e-282,6.7140753369003e-287,0,0,0,0,4.04993130475124e-282
"95%",Age_12_19,2.15246379538852e-173,3.19880165224031e-174,3.76718258770479e-176,2.039336330055e-175,8.3634314722715e-179,1.99068634735934e-177,3.10722869676598e-174,3.26293812808799e-176,3.14184876439422e-174,7.70992024840464e-179,0,0,0,3.76718258770479e-176,3.10016225659734e-174
"97.5%",Age_12_19,5.26203239620591e-72,8.42827914357395e-73,7.96629304960545e-75,9.17911467879134e-74,1.03052633944642e-77,4.10978572633072e-76,8.18700052906553e-73,1.46865834860661e-74,8.33797614965252e-73,9.1868199284575e-78,0,0,0,1.8738220668006e-76,8.08533339634949e-73
"99%",Age_12_19,5.2881196612139e-31,1.0421745397243e-31,1.12881428834245e-33,7.53612886539798e-33,1.6762377214856e-36,4.02264419675407e-35,1.01233992879873e-31,1.20578061846368e-33,1.02479999940304e-31,1.53561021995064e-36,0,0,0,4.13662711284447e-36,1.01134686701357e-31
"99.5%",Age_12_19,6.63876153525257e-11,1.27396833634744e-11,7.13738568803542e-14,3.35642067644676e-13,2.54895008590558e-16,1.11311898528985e-14,1.2374981020463e-11,5.37027308231481e-14,1.24398149411391e-11,2.42180856850882e-16,0,0,0,4.77264043576103e-24,1.23624933263223e-11
"mean",Age_12_19,4.42432883201636,0.972333095439426,0.479338126086795,6.81610337709233,0.00011323145902069,0.000219436832013451,0.944497854328887,1.09057654033477,2.03529383149567,2.9588097004143e-05,0,25.808583877904,2.06693568556469,3.53289606018995e-10,0.944497854276694
"sd",Age_12_19,151.076410133391,33.2020059259146,16.367835385876,232.747724455466,0.0038664854025525,0.0074930517535517,32.2515231699166,37.2396359128745,69.4986521345446,0.00101033708884518,0,881.27905914004,70.5791199119971,1.20528597166155e-08,32.2515231699181
"0.5%",Age_20_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Age_20_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Age_20_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Age_20_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Age_20_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Age_20_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Age_20_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Age_20_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Age_20_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Age_20_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Age_20_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Age_20_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Age_20_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75%",Age_20_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80%",Age_20_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85%",Age_20_65,7.87872485958625e-282,1.89816959425082e-282,0,0,2.66813529127195e-287,7.30793067248799e-286,1.84383018261042e-282,0,1.84457930434192e-282,2.59131484102638e-287,0,0,0,0,1.84101817301151e-282
"90%",Age_20_65,2.42057073498627e-281,6.03931745092871e-282,0,0,9.24374264691172e-287,2.50715989991833e-285,5.86642828549954e-282,0,5.86819172461721e-282,8.97549927529843e-287,0,0,0,0,5.85944874434443e-282
"95%",Age_20_65,9.73913034704652e-137,2.37368669706218e-137,5.24397629893724e-139,3.21147064456936e-138,4.10784081096e-142,5.74683001846944e-141,2.30573452939093e-137,5.13835303131098e-139,2.3418482674539e-137,3.5605924973272e-142,0,0,0,5.24397629893724e-139,2.3041651686268e-137
