"","","exp.dermal","exp.ingest","exp.inhal","dose.inhal","dose.intake","abs.dermal.ug","abs.ingest.ug","abs.inhal.ug","abs.tot.ug","abs.tot.mgkg","ddd.mass","conc.max.prod.aer","conc.max.prod.vap","exp.inhal.indir","abs.hm.ug"
"Statistic",Cohort,ug/day,ug/day,ug/m3,ug/day,mg/kg/day,ug/day,ug/day,ug/day,ug/day,mg/kg/day,g/day,ug/m3,ug/m3,ug/m3,ug/day
"0.5%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75%",Total,0.193112,0.049088,0.000994,0.008376,9.81e-07,1.6e-05,0.047683,0.00134,0.051003,7.52e-07,0.000261,0,0.399253,3.8e-05,0.047634
"80%",Total,0.62958,0.154055,0.005128,0.054309,3.478e-06,5.4e-05,0.149645,0.008689,0.167827,2.46e-06,0.001059,0,1.44202,8.9e-05,0.149645
"85%",Total,1.122509,0.275561,0.01147,0.127102,6.726e-06,0.000102,0.267673,0.020336,0.300815,4.498e-06,0.001942,0,2.428132,0.000157,0.267603
"90%",Total,1.942604,0.477287,0.023459,0.259419,1.1581e-05,0.000176,0.463623,0.041507,0.515905,7.658e-06,0.003394,0,3.882582,0.000284,0.463601
"95%",Total,3.514839,0.873569,0.049277,0.569095,2.2482e-05,0.000345,0.848561,0.091055,0.953476,1.473e-05,0.00611,0,6.696418,0.000552,0.848372
"97.5%",Total,5.509993,1.419277,0.093427,1.077856,3.8233e-05,0.000533,1.378647,0.172457,1.498271,2.4031e-05,0.009801,0,10.082364,0.000875,1.378611
"99%",Total,9.614049,2.503164,0.169224,2.037661,6.8657e-05,0.000938,2.431505,0.326026,2.877117,4.3248e-05,0.016909,0,16.509178,0.001595,2.431381
"99.5%",Total,12.77088,3.430392,0.275331,3.162885,0.000110244,0.001435,3.332189,0.506062,3.770703,6.2531e-05,0.023121,0,20.862348,0.002233,3.332027
"mean",Total,0.6453138521,0.1649990417,0.0103773476,0.1201900407,4.3828348e-06,6.3119e-05,0.1602755707,0.0192304051,0.1795690949,2.7834606e-06,0.0011348708,0,1.2074720084,0.0001032894,0.1602571304
"sd",Total,2.13906657228152,0.569973728883202,0.0484721705288648,0.559816555360953,1.64021816279459e-05,0.000221818656994084,0.553656934624404,0.0895706491913587,0.61638174998543,9.83724212863124e-06,0.00385725833673284,0,3.69328411826723,0.000364814735210549,0.553610596371983
"0.5%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75%",Males,0.169093,0.040879,0.000791,0.005737,8.01e-07,1.4e-05,0.039709,0.000918,0.044809,6.45e-07,0.000183,0,0.284604,3.5e-05,0.039707
"80%",Males,0.608549,0.151078,0.005106,0.058611,3.246e-06,5.3e-05,0.146753,0.009378,0.163672,2.248e-06,0.001046,0,1.421151,8.6e-05,0.146733
"85%",Males,1.140506,0.274011,0.01122,0.132988,6.323e-06,0.000103,0.266167,0.021278,0.302726,4.201e-06,0.002,0,2.435935,0.000147,0.266163
"90%",Males,1.933286,0.483674,0.023229,0.273305,1.0918e-05,0.000172,0.469828,0.043729,0.524016,7.087e-06,0.003417,0,3.871226,0.000259,0.469818
"95%",Males,3.489959,0.842659,0.048967,0.605927,2.0749e-05,0.000331,0.818536,0.096948,0.951301,1.2959e-05,0.006086,0,6.427512,0.000517,0.818503
"97.5%",Males,5.340855,1.350328,0.093154,1.170894,3.6192e-05,0.000525,1.311671,0.187343,1.479592,2.2341e-05,0.009577,0,9.799264,0.00083,1.311655
"99%",Males,10.268176,2.694631,0.178116,2.376068,6.8657e-05,0.001031,2.617491,0.380171,3.109771,4.2519e-05,0.018671,0,17.165038,0.001393,2.617453
"99.5%",Males,13.05313,3.399773,0.267894,3.527806,0.000112173,0.001476,3.302447,0.564449,3.770703,6.2006e-05,0.023688,0,22.922805,0.002233,3.302143
"mean",Males,0.658766820913462,0.167311012019231,0.0104309757612179,0.128819981370192,4.2415546875e-06,6.48904246794872e-05,0.162521356169872,0.0206111967147436,0.183197444310897,2.62156730769231e-06,0.00116683733974359,0,1.22583848597756,9.80789262820513e-05,0.162506745793269
"sd",Males,2.30210403990758,0.607782013691072,0.0494042137074654,0.580654243337888,1.69014230598379e-05,0.000244732854595932,0.59038287593009,0.0929046805372478,0.654260554339626,9.83554993482386e-06,0.0041686065040392,0,3.93000115884802,0.000362134427248676,0.590350605360812
"0.5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75%",Females,0.22503,0.054655,0.0011,0.009911,1.141e-06,2e-05,0.053091,0.001586,0.058131,9.1e-07,0.000289,0,0.491906,4.2e-05,0.053089
"80%",Females,0.642516,0.155966,0.00514,0.050172,3.765e-06,5.5e-05,0.151501,0.008027,0.170167,2.645e-06,0.001078,0,1.462835,9.3e-05,0.151493
"85%",Females,1.093226,0.278278,0.01172,0.124673,7.04e-06,1e-04,0.270312,0.019948,0.298558,4.866e-06,0.001873,0,2.423548,0.000165,0.270263
"90%",Females,1.951374,0.471582,0.023544,0.238985,1.2424e-05,0.000178,0.458082,0.038238,0.502851,8.221e-06,0.003366,0,3.882582,0.000312,0.458075
"95%",Females,3.586971,0.905261,0.049586,0.543474,2.4416e-05,0.000351,0.879346,0.086956,0.965078,1.5826e-05,0.006203,0,6.769263,0.000605,0.87926
"97.5%",Females,5.676737,1.428773,0.094887,1.023706,3.9719e-05,0.000539,1.387871,0.163793,1.513667,2.5678e-05,0.009863,0,10.091772,0.000936,1.387562
"99%",Females,8.853155,2.419479,0.160225,1.802112,6.826e-05,0.000863,2.350216,0.288338,2.602212,4.5066e-05,0.015244,0,15.082038,0.001632,2.350184
"99.5%",Females,12.638341,3.646687,0.282231,2.683053,0.000102171,0.001161,3.542293,0.429288,3.765722,6.2531e-05,0.022182,0,19.923211,0.002216,3.54226
"mean",Females,0.631903864017572,0.162694457867412,0.0103238907747604,0.11158767172524,4.52366353833866e-06,6.13532348242811e-05,0.158036960263578,0.0178540249600639,0.175952337659744,2.94483666134185e-06,0.00110300638977636,0,1.18916420966454,0.000108483226837061,0.158014702276358
"sd",Females,1.96326155577668,0.529658061610023,0.0475297942261798,0.538163604271817,1.58893721565162e-05,0.000196343080291284,0.514495389707205,0.0861061756169141,0.576193997274271,9.83725903638759e-06,0.00351973377643244,0,3.44145394679311,0.000367429645179035,0.514432686522908
"0.5%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Females_Repro,0.288135,0.065529,0.0014,0.013931,1.506e-06,2.4e-05,0.063653,0.002229,0.072275,1.052e-06,0.000412,0,0.661351,4.4e-05,0.063647
"75%",Females_Repro,0.617805,0.146329,0.005028,0.04969,3.381e-06,5.3e-05,0.14214,0.00795,0.162501,2.482e-06,0.001055,0,1.43994,8.3e-05,0.142135
"80%",Females_Repro,0.94507,0.240791,0.01023,0.103436,5.96e-06,8.9e-05,0.233898,0.01655,0.260353,4.2e-06,0.001664,0,2.119821,0.000134,0.233897
"85%",Females_Repro,1.491824,0.363999,0.016189,0.183757,9.085e-06,0.00014,0.353578,0.029401,0.398086,6.212e-06,0.002543,0,3.093356,0.000221,0.353553
"90%",Females_Repro,2.211005,0.564818,0.028646,0.330802,1.4713e-05,0.000222,0.548648,0.052928,0.616215,9.824e-06,0.003853,0,4.477883,0.000371,0.548536
"95%",Females_Repro,4.215691,1.08147,0.060501,0.705761,2.8343e-05,0.000398,1.05051,0.112922,1.151936,1.8163e-05,0.007486,0,7.976066,0.000675,1.050473
"97.5%",Females_Repro,6.33252,1.55735,0.103505,1.255231,4.4384e-05,0.000617,1.512767,0.200837,1.68826,2.793e-05,0.011047,0,11.568082,0.001051,1.512751
"99%",Females_Repro,9.360734,2.564085,0.182134,1.915643,7.463e-05,0.000906,2.490682,0.306503,3.026435,4.6172e-05,0.016651,0,17.205495,0.001765,2.490675
