"person","gender","age","season","weekend","weight","exp.dermal","exp.inhal","exp.ingest","exp.diet","exp.nondiet","exp.drain","dose.inhal.ug","dose.intake.ug","dose.intake.mgkg","abs.dermal.ug","abs.inhal.ug","abs.ingest.ug","abs.tot.ug","abs.tot.mgkg","urine.tot.ug","exp.window","conc.inhal.max.prod.aer","conc.inhal.max.prod.vap","exp.inhal.indir","abs.hm.ug"
"1","M","32","P","0","81.485","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","F","39","S","0","64.961","1.223416","0.089417","0.399912","0","1.5e-05","0.002203","0.971708","1.371841","2.1118e-05","0.000145","0.155473","0.388464","0.544083","8.376e-06","0.198818","42.45937","0","1.830323","0.000249","0.388449"
"3","M","38","F","0","87.994","0.671439","0.007231","0.257777","0","3e-06","0.001231","0.06791","0.325818","3.703e-06","4.7e-05","0.010866","0.250398","0.26131","2.97e-06","0.095669","33.899931","0","1.022436","0.000354","0.250394"
"4","F","28","P","0","76.08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","M","19","S","0","75.812","0.590704","0.002611","0.142688","0","4e-06","0.001082","0.025669","0.168493","2.223e-06","6.6e-05","0.004107","0.138604","0.142777","1.883e-06","0.077533","46.808282","0","1.343408","3.2e-05","0.138599"
"6","M","29","F","0","72.299","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","133.419626","0","0","0","0"
"7","F","59","S","1","68.061","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","M","40","F","0","86.736","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","M","3","S","1","16.437","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","M","74","F","0","68.645","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","F","47","W","0","65.741","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","F","11","W","0","39.087","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","53.611595","0","0","0","0"
"13","F","30","S","0","56.691","2.761795","0.021231","0.822693","0","9.7e-05","0.004489","0.255119","1.078188","1.9019e-05","0.000222","0.040819","0.799142","0.840183","1.482e-05","0.366009","38.194195","0","3.728786","0.001747","0.799047"
"14","F","32","W","1","64.928","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30.003342","0","0","0","0"
"15","M","3","P","1","15.804","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","62.424757","0","0","0","0"
"16","F","8","F","0","37.631","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","F","74","W","1","81.13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","M","21","W","1","70.83","1.238985","0.005273","0.33008","0","2.4e-05","0.002183","0.050386","0.380699","5.375e-06","0.000117","0.008062","0.32063","0.328809","4.642e-06","0.145772","61.426119","0","1.813103","0.000303","0.320607"
"19","M","76","F","0","80.961","1.70322","0.019445","0.209186","0","4.5e-05","0.002693","0.218236","0.42773","5.283e-06","0.000115","0.034918","0.203197","0.23823","2.943e-06","0.127865","81.706344","0","3.361875","0.001059","0.203153"
"20","F","8","P","0","25.64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21","M","7","W","0","21.133","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","58.561976","0","0","0","0"
"22","M","32","P","0","53.124","0.754673","0.001986","0.182492","0","4e-06","0.001364","0.024883","0.207579","3.907e-06","0.000115","0.003981","0.177267","0.181364","3.414e-06","0.086602","20.580612","0","1.132736","0.000102","0.177264"
"23","F","2","F","1","13.739","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24","F","32","S","0","55.746","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25","M","50","S","0","53.801","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26","F","46","W","0","58.797","1.69933","0.005028","0.338957","0","7.7e-05","0.002627","0.048411","0.387595","6.592e-06","8.5e-05","0.007746","0.329254","0.337085","5.733e-06","0.130558","49.272514","0","2.181924","0.000385","0.329179"
"27","F","56","F","0","99.038","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13.602708","0","0","0","0"
"28","M","23","W","0","70.551","3.244168","0.027494","0.988112","0","8e-06","0.006005","0.242725","1.231352","1.7453e-05","0.000346","0.038836","0.959825","0.999007","1.416e-05","0.501762","76.886431","0","4.98793","0.000107","0.959817"
"29","M","9","P","0","33.259","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30","F","76","S","1","72.663","0.000391","1e-05","9.9e-05","0","1e-06","0","5.6e-05","0.000155","2e-09","0","9e-06","9.6e-05","0.000105","1e-09","6.4e-05","2.219869","0","0","1e-05","9.5e-05"
"31","F","40","F","1","81.655","0.073533","7e-05","0.021549","0","1.4e-05","0","0.000612","0.022169","2.71e-07","4e-06","9.8e-05","0.020932","0.021033","2.58e-07","0.012685","11.680175","0","0","7e-05","0.020918"
"32","M","31","P","0","75.011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","36.851124","0","0","0","0"
"33","M","88","W","0","48.98","3.688859","0.03386","1.347314","0","0.000193","0.005303","0.26976","1.617483","3.3023e-05","0.000219","0.043162","1.308744","1.352124","2.7606e-05","0.670177","152.088679","0","6.618998","0.002536","1.308556"
"34","F","52","S","0","64.715","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35","M","21","F","0","62.122","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","151.786451","0","0","0","0"
"36","M","11","S","0","41.589","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","72.763211","0","0","0","0"
"37","F","19","F","0","49.706","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"38","M","43","F","1","85.689","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"39","F","0","W","0","5.047","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40","M","28","S","0","69.751","2.139424","0.041499","0.562884","0","5e-06","0.003964","0.560688","1.123965","1.6114e-05","0.000177","0.08971","0.54677","0.636657","9.128e-06","0.430708","72.421937","0","4.948234","0.000153","0.546765"
"41","M","18","W","0","61.277","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","42.956955","0","0","0","0"
"42","M","9","S","0","27.082","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20.001924","0","0","0","0"
"43","F","58","F","1","65.861","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"44","F","16","S","1","50.162","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45","M","12","P","0","29.852","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"46","F","45","P","0","89.244","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"47","M","50","W","0","76.878","0.007898","7.1e-05","0.002272","0","2e-06","0","0.000457","0.00273","3.6e-08","0","7.3e-05","0.002207","0.00228","3e-08","0.001034","84.039765","0","0","7.1e-05","0.002205"
"48","M","1","W","0","12.096","5.51629","0.206358","1.247067","0","3.9e-05","0.009933","1.399361","2.647183","0.00021884","0.000238","0.223898","1.211367","1.435503","0.000118672","0.502118","199.197701","0","10.619176","0.001939","1.211329"
"49","M","48","S","1","83.639","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50","M","58","S","1","76.753","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"51","M","6","F","0","27.515","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19.089406","0","0","0","0"
"52","M","55","W","0","61.101","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"53","M","15","W","0","38.904","3.295897","0.05373","1.134371","0","3.7e-05","0.005953","0.422482","1.557398","4.0031e-05","0.000252","0.067597","1.101897","1.169745","3.0067e-05","0.738803","84.264683","0","4.945257","0.00034","1.101861"
"54","F","1","S","0","11.282","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55","M","15","W","0","59.882","0.492962","0.001101","0.097819","0","1.3e-05","0.000819","0.012106","0.110027","1.837e-06","4.5e-05","0.001937","0.095019","0.097001","1.62e-06","0.032132","10.007653","0","0.680454","2.4e-05","0.095006"
"56","M","22","P","0","66.247","2.137551","0.02328","0.44843","0","6.8e-05","0.003423","0.248588","0.697595","1.053e-05","0.000342","0.039774","0.435593","0.475708","7.181e-06","0.322171","46.430681","0","4.261823","0.000311","0.435527"
"57","F","41","P","0","49.231","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","59.056435","0","0","0","0"
"58","F","28","F","0","52.696","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"59","F","39","P","0","75.927","6.149701","0.013077","1.716665","0","0.000125","0.009743","0.111466","1.829911","2.4101e-05","0.001161","0.017835","1.667522","1.686518","2.2212e-05","0.640252","202.706462","0","8.093045","0.002036","1.667401"
"60","F","53","F","0","77.673","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"61","M","18","W","0","79.095","2.53194","0.018091","0.577495","0","7.3e-05","0.003963","0.19367","0.771843","9.758e-06","0.000456","0.030987","0.560963","0.592407","7.49e-06","0.391381","35.481383","0","3.797603","0.00138","0.560892"
"62","M","16","F","0","91.037","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
