"","","exp.dermal","exp.ingest","exp.inhal","dose.inhal","dose.intake","abs.dermal.ug","abs.ingest.ug","abs.inhal.ug","abs.tot.ug","abs.tot.mgkg","ddd.mass","conc.max.prod.aer","conc.max.prod.vap","exp.inhal.indir","abs.hm.ug"
"Statistic",Cohort,ug/day,ug/day,ug/m3,ug/day,mg/kg/day,ug/day,ug/day,ug/day,ug/day,mg/kg/day,g/day,ug/m3,ug/m3,ug/m3,ug/day
"0.5%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75%",Total,0.193112049551627,0.0490883428293676,0.000994444530430005,0.00837631213629339,9.81434417081344e-07,1.64619196657533e-05,0.0476830776329231,0.00134020994180694,0.0510027712529992,7.52327913901925e-07,0.00026083,0,0.399253164603906,3.81463858129354e-05,0.0476336910863666
"80%",Total,0.629580116755795,0.154055113446961,0.00512765382255953,0.0543092921346362,3.47817938035117e-06,5.38091908916923e-05,0.149644936268769,0.0086894867415418,0.167827348759714,2.45972607025267e-06,0.00105918,0,1.44202029281957,8.88855440328822e-05,0.149644529870817
"85%",Total,1.12250854192808,0.275561285746653,0.0114696335137773,0.127102155306477,6.72594696899921e-06,0.000101667290483603,0.267672718685155,0.0203363448490363,0.30081547393265,4.49777134820924e-06,0.00194221,0,2.42813231658924,0.000156768446700694,0.267603141724055
"90%",Total,1.94260438700208,0.477286769934982,0.0234593374046688,0.25941944131982,1.15810982038647e-05,0.000176352572832881,0.463623353167288,0.0415071106111713,0.515904612139012,7.65813783024273e-06,0.0033938,0,3.88258218925355,0.000283938456903166,0.46360057098936
"95%",Total,3.51483899035182,0.873568867478017,0.0492773310703641,0.569094959669898,2.24820018268237e-05,0.00034483279807451,0.848560976491934,0.0910551935471837,0.953476201312804,1.47302505924356e-05,0.0061102,0,6.69641775989816,0.000551775701819217,0.848372395292354
"97.5%",Total,5.50999336055327,1.41927667984486,0.0934266431148541,1.07785634005535,3.8233192881042e-05,0.000532595427145496,1.37864666450203,0.172457014408855,1.4982706223951,2.40308575402352e-05,0.009801,0,10.0823637588836,0.000875147899240049,1.37861149508966
"99%",Total,9.61404859492479,2.50316421935637,0.169224006510928,2.03766130776893,6.86573430187315e-05,0.000937639186960194,2.43150546382099,0.326025809243029,2.87711747187787,4.32480502079199e-05,0.016909,0,16.509178208299,0.00159518992868057,2.43138060982745
"99.5%",Total,12.7708804702381,3.43039167174431,0.275330582829588,3.16288529788225,0.000110244026613208,0.00143523481769291,3.33218892647683,0.506061647661161,3.77070338020506,6.2530709987203e-05,0.0231207,0,20.8623482034108,0.00223323419216596,3.33202723574605
"mean",Total,0.645313850785095,0.164999040944357,0.0103773488443196,0.120190038337852,4.38283494818858e-06,6.31206531179026e-05,0.160275569009446,0.0192304061340563,0.17956909579662,2.78346121732507e-06,0.0011348733979,0,1.20747200935646,0.000103287917311263,0.160257129864712
"sd",Total,2.13906657165602,0.569973727988484,0.0484721679474747,0.559816556225032,1.64021792568611e-05,0.000221813647227247,0.553656936736961,0.0895706489960052,0.616381751741922,9.83723772853979e-06,0.00385726297991161,0,3.69328412097211,0.000364811370313511,0.553610595362021
"0.5%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75%",Males,0.169092915401815,0.0408790064220925,0.00079081164039076,0.00573700527346147,8.01469172073442e-07,1.4325249579032e-05,0.039708752107542,0.000917920843753836,0.0448092376198266,6.45102746392846e-07,0.000183029,0,0.284604100291741,3.53040993367299e-05,0.0397073230504617
"80%",Males,0.608548763416575,0.151078301759243,0.00510611882683011,0.0586109611795166,3.24554693300692e-06,5.33428516013986e-05,0.146753342570089,0.00937775378872265,0.163671559320747,2.24772832716267e-06,0.00104571,0,1.42115054003838,8.55297135840955e-05,0.146733062111249
"85%",Males,1.14050624479075,0.274011275470317,0.0112198133898794,0.132988131984877,6.32341870736628e-06,0.000103220826104465,0.26616708097,0.0212781011175804,0.302725865740617,4.20119304032082e-06,0.0020002,0,2.43593473738396,0.000147319122854304,0.266162897716222
"90%",Males,1.93328599983086,0.483673919562033,0.0232288703579486,0.273305216385553,1.09183104946985e-05,0.000172143155710719,0.469827656143627,0.0437288346216885,0.524015830068168,7.08677196408801e-06,0.0034172,0,3.87122581289914,0.00025882909413143,0.469818326904086
"95%",Males,3.48995898478293,0.842658582927635,0.0489665247988526,0.605926902508534,2.07487854117442e-05,0.000331310554040094,0.818535568973189,0.0969483044013654,0.951300534498176,1.29586608469991e-05,0.0060859,0,6.4275122686841,0.000517203108504922,0.818503132692164
"97.5%",Males,5.34085513519421,1.35032766652955,0.0931536869194289,1.17089422509071,3.61920024707829e-05,0.000525337305384067,1.3116714731403,0.187343076014513,1.47959221331843,2.23406260964846e-05,0.0095771,0,9.79926385586502,0.000829980867249879,1.31165536651782
"99%",Males,10.268175653685,2.69463104147926,0.178115886386103,2.37606810617215,6.86573430187315e-05,0.00103066282866429,2.61749111371652,0.380170896987544,3.10977085394414,4.25191213043934e-05,0.0186713,0,17.1650376954828,0.00139339344049831,2.61745252241571
"99.5%",Males,13.0531297554986,3.39977277020352,0.267893864784494,3.52780558709886,0.000112172692756715,0.00147571606059897,3.30244656046786,0.564448893935817,3.77070338020506,6.20061144431458e-05,0.0236883,0,22.9228046022774,0.00223323419216596,3.30214337067923
"mean",Males,0.658766817381667,0.167311012473302,0.0104309761396568,0.128819980842238,4.24155755838729e-06,6.48934405123301e-05,0.16252135510744,0.020611196934758,0.183197445482711,2.6215694187521e-06,0.00116684121033654,0,1.22583848737719,9.80758307292301e-05,0.162506745643817
"sd",Males,2.30210403448116,0.607782018650475,0.0494042097847102,0.580654246098785,1.69014200706307e-05,0.000244721234843205,0.590382879290583,0.0929046793758056,0.654260557652179,9.83554852717987e-06,0.00416861170230492,0,3.93000116562427,0.00036212988020584,0.59035060036845
"0.5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75%",Females,0.225030221049772,0.0546554617833621,0.0011000567414552,0.00991116618780429,1.14084764257182e-06,1.96319996490351e-05,0.053090825174896,0.00158578659004869,0.0581312221811425,9.09667477105342e-07,0.00028942,0,0.491905831745277,4.20673269002505e-05,0.0530885416014826
"80%",Females,0.642515620159476,0.155965763709283,0.00514024829626989,0.0501718363600766,3.76508915931232e-06,5.46230163518249e-05,0.151500889832008,0.00802749381761225,0.17016682294737,2.64471250311119e-06,0.00107848,0,1.46283536388981,9.27737439297036e-05,0.151492525722761
"85%",Females,1.09322570355641,0.278277974197428,0.0117197998070177,0.124672580055927,7.04041963669397e-06,0.000100357423729338,0.270311635764777,0.0199476128089484,0.298557526811027,4.86560793836595e-06,0.00187269,0,2.4235483736164,0.000165126756796325,0.270263475148272
"90%",Females,1.95137397488439,0.471581999466287,0.0235440858379763,0.238984573949505,1.24235094291183e-05,0.000177940048980556,0.458081894697559,0.0382375318319208,0.502850657769783,8.22119396439123e-06,0.0033655,0,3.88258218925355,0.000311940008612001,0.458074894501683
"95%",Females,3.58697121016908,0.905261364524084,0.0495855230939194,0.543473506925562,2.441633268573e-05,0.000350964848415964,0.87934620389881,0.0869557611080899,0.965078253281609,1.5825659065386e-05,0.0062032,0,6.76926319363654,0.000604806100488123,0.879259637394961
"97.5%",Females,5.67673670342869,1.42877301683907,0.0948865556150456,1.02370588666429,3.97187413812942e-05,0.000538980812450445,1.3878711473023,0.163792941866287,1.51366726633792,2.56777522848507e-05,0.0098627,0,10.0917718909914,0.000935509023110965,1.38756221314441
"99%",Females,8.8531550310653,2.41947874710061,0.160224858093195,1.80211164359039,6.8260439039547e-05,0.000863249192241841,2.35021567809344,0.288337862974463,2.60221206903252,4.50657733797254e-05,0.0152442,0,15.082038328771,0.00163187358748365,2.35018444870405
"99.5%",Females,12.6383412368138,3.64668730417811,0.282230926032736,2.68305259343945,0.000102171368678332,0.00116134020961106,3.54229260565079,0.429288414950312,3.7657217638294,6.2530709987203e-05,0.0221824,0,19.9232111066407,0.0022157011390807,3.54225978554145
"mean",Females,0.631903864912474,0.16269445590592,0.0103238928821944,0.111587667534758,4.52366097252725e-06,6.13535295809652e-05,0.158036957946908,0.0178540268055614,0.17595233828205,2.94483578970452e-06,0.00110300771904952,0,1.18916421017925,0.000108483351859488,0.158014701356468
"sd",Females,1.96326156078856,0.52965805400403,0.0475297930352946,0.538163603038895,1.58893704862668e-05,0.000196346190169054,0.514495390397812,0.0861061764862231,0.576193997273857,9.83725170124222e-06,0.00351973777814167,0,3.44145394487185,0.000367427394935451,0.514432690059856
"0.5%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
