"","","exp.dermal","exp.ingest","exp.inhal","dose.inhal","dose.intake","abs.dermal.ug","abs.ingest.ug","abs.inhal.ug","abs.tot.ug","abs.tot.mgkg","ddd.mass","conc.max.prod.aer","conc.max.prod.vap","exp.inhal.indir","abs.hm.ug"
"Statistic",Cohort,ug/day,ug/day,ug/m3,ug/day,mg/kg/day,ug/day,ug/day,ug/day,ug/day,mg/kg/day,g/day,ug/m3,ug/m3,ug/m3,ug/day
"0.5%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Total,0.01707,0.003981,4.8e-05,0.000293,6.6e-08,1e-06,0.003867,4.7e-05,0.003981,5.8e-08,0,0,0,1e-05,0.003863
"30%",Total,0.095173,0.022192,0.000252,0.001604,4.14e-07,9e-06,0.021557,0.000257,0.0233,3.75e-07,0,0,0,2.2e-05,0.021494
"40%",Total,0.614359,0.148571,0.01362,0.136294,5.191e-06,5e-05,0.144318,0.021807,0.185424,2.798e-06,0.001071,0,2.65899,4.9e-05,0.144317
"50%",Total,1.044529,0.257067,0.028735,0.296933,9.786e-06,9.2e-05,0.249708,0.047509,0.324443,4.985e-06,0.001843,0,4.578338,7.9e-05,0.249705
"60%",Total,1.581652,0.384005,0.047519,0.510868,1.5444e-05,0.000141,0.373012,0.081739,0.497768,7.61e-06,0.002805,0,6.96701,0.000125,0.372948
"70%",Total,2.271357,0.568705,0.07878,0.859649,2.4109e-05,0.000215,0.552424,0.137544,0.732775,1.1633e-05,0.00407,0,10.108225,0.000187,0.552411
"75%",Total,2.805549,0.705943,0.102871,1.139941,3.0898e-05,0.000266,0.685733,0.182391,0.909225,1.4463e-05,0.004979,0,12.365632,0.000238,0.68568
"80%",Total,3.54316,0.876489,0.138384,1.538004,4.0285e-05,0.000337,0.851398,0.246081,1.138884,1.8334e-05,0.006356,0,15.786287,0.000307,0.851382
"85%",Total,4.521514,1.130305,0.188094,2.167756,5.4258e-05,0.000446,1.097948,0.346841,1.487342,2.3942e-05,0.00818,0,20.317351,0.000402,1.097943
"90%",Total,6.182611,1.558486,0.271359,3.173912,7.672e-05,0.000618,1.513871,0.507826,2.068265,3.3088e-05,0.011129,0,27.641541,0.000549,1.513841
"95%",Total,9.480402,2.436798,0.476379,5.51612,0.000126987,0.000967,2.367039,0.882579,3.237248,5.4341e-05,0.017315,0,43.005282,0.000902,2.367016
"97.5%",Total,13.673933,3.489686,0.744192,8.558247,0.000193206,0.001413,3.389786,1.369319,4.586316,7.8396e-05,0.024513,0,60.882025,0.00135,3.389059
"99%",Total,20.551121,5.113508,1.21229,13.509405,0.000335082,0.002189,4.967123,2.161505,7.057917,0.00013522,0.036958,0,91.791833,0.00207,4.967027
"99.5%",Total,26.533899,6.988174,1.608903,19.534525,0.000501938,0.002797,6.788122,3.125524,9.046561,0.000196363,0.048733,0,121.034629,0.002947,6.78809
"mean",Total,2.4139092283,0.6110298263,0.1096108933,1.2699940978,3.14341557e-05,0.0002409389,0.593537712,0.2031990558,0.7969777108,1.38424667e-05,0.004341794,0,10.7835127528,0.0002227877,0.5934956319
"sd",Total,4.51461417877368,1.18181236183456,0.302742862605936,4.00702871824543,8.19673596646439e-05,0.000496278791840547,1.14798030371005,0.641124597496219,1.58361447860843,3.44297060184101e-05,0.00827753535253793,0,20.5584877556331,0.000460475698181317,1.14793900260558
"0.5%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Males,0.015651,0.003831,4.3e-05,0.000273,6.3e-08,1e-06,0.003721,4.4e-05,0.00395,5.4e-08,0,0,0,1e-05,0.003719
"30%",Males,0.10913,0.02487,0.000317,0.001799,4.57e-07,1e-05,0.024158,0.000288,0.024638,3.88e-07,0,0,0,2e-05,0.024148
"40%",Males,0.639558,0.160425,0.015278,0.152324,5.398e-06,5.4e-05,0.155832,0.024372,0.203389,2.846e-06,0.001126,0,2.797559,4.6e-05,0.155832
"50%",Males,1.069286,0.262981,0.030093,0.320644,9.625e-06,9.4e-05,0.255453,0.051303,0.340171,4.733e-06,0.001916,0,4.758817,7.7e-05,0.255453
"60%",Males,1.587328,0.391549,0.049107,0.555153,1.4983e-05,0.000144,0.38034,0.088824,0.510648,7.162e-06,0.002815,0,6.990116,0.00012,0.380299
"70%",Males,2.277846,0.580449,0.080605,0.931755,2.3469e-05,0.00022,0.563832,0.149081,0.743241,1.1049e-05,0.004134,0,10.267179,0.000182,0.563783
"75%",Males,2.856106,0.709049,0.106287,1.219025,3.0108e-05,0.00027,0.688751,0.195044,0.941222,1.4063e-05,0.005118,0,12.712267,0.000231,0.688744
"80%",Males,3.583268,0.889562,0.140311,1.658503,3.8788e-05,0.00034,0.864096,0.265361,1.180922,1.7546e-05,0.006564,0,16.301778,0.000298,0.864091
"85%",Males,4.53678,1.163723,0.189512,2.294274,5.3408e-05,0.000454,1.130409,0.367084,1.538289,2.2755e-05,0.008272,0,20.54476,0.00039,1.130355
"90%",Males,6.214868,1.556147,0.269612,3.432365,7.5968e-05,0.000626,1.511599,0.549178,2.077685,3.1122e-05,0.011286,0,28.031392,0.000532,1.511594
"95%",Males,9.679448,2.460298,0.467884,5.767703,0.000125032,0.000967,2.389867,0.922833,3.255793,5.2829e-05,0.017794,0,44.193051,0.000869,2.389839
"97.5%",Males,13.470387,3.446267,0.680216,8.466647,0.00018933,0.001345,3.347609,1.354664,4.573187,7.7894e-05,0.024268,0,60.272211,0.001309,3.347538
"99%",Males,19.988731,5.002106,1.185438,13.402316,0.000305689,0.002011,4.858909,2.144371,6.562256,0.000127238,0.035546,0,88.28478,0.00207,4.858906
"99.5%",Males,24.410047,6.213908,1.467954,18.400379,0.000428048,0.002581,6.03602,2.944061,8.287126,0.000183787,0.045595,0,113.242134,0.002903,6.036009
"mean",Males,2.3876211015466,0.602117451363451,0.1043497004477,1.27691989499389,3.01736540496541e-05,0.000236542328042328,0.584880475783476,0.204307185388685,0.78942421021571,1.31753325193325e-05,0.00431234778184778,0,10.7103910225885,0.000217675824175824,0.584843701465201
"sd",Males,4.02483709071104,1.01951755406356,0.225596710795836,2.94217016486006,6.89303270082085e-05,0.00043450334506039,0.990331551145936,0.470747225235982,1.33885881397069,3.0169982392439e-05,0.00737611204029517,0,18.3196915112764,0.0004646632047741,0.99029455782495
"0.5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Females,0.017849,0.004058,5e-05,0.000314,7.1e-08,1e-06,0.003942,5e-05,0.004011,6.4e-08,0,0,0,1.1e-05,0.003936
"30%",Females,0.083781,0.020248,0.000197,0.001414,4e-07,8e-06,0.019668,0.000226,0.019896,3.67e-07,0,0,0,2.4e-05,0.01966
"40%",Females,0.580747,0.137464,0.012191,0.120002,5.059e-06,4.7e-05,0.133529,0.0192,0.1722,2.745e-06,0.001009,0,2.505676,5e-05,0.133526
"50%",Females,1.014401,0.250565,0.027374,0.270646,1.0005e-05,8.8e-05,0.243392,0.043303,0.311809,5.272e-06,0.001767,0,4.38885,8.2e-05,0.243385
"60%",Females,1.576512,0.379522,0.045769,0.473931,1.588e-05,0.000139,0.368658,0.075829,0.482633,8.164e-06,0.002792,0,6.93534,0.000129,0.368657
"70%",Females,2.26721,0.560218,0.076163,0.789021,2.4779e-05,0.000209,0.544181,0.126243,0.719563,1.2215e-05,0.004011,0,9.96182,0.000192,0.544171
"75%",Females,2.756163,0.702474,0.098916,1.063237,3.1601e-05,0.000262,0.682365,0.170118,0.888616,1.4928e-05,0.004855,0,12.059219,0.000244,0.682341
"80%",Females,3.484847,0.866722,0.135818,1.429023,4.117e-05,0.000334,0.84191,0.228644,1.092063,1.8938e-05,0.006189,0,15.370026,0.000313,0.841865
"85%",Females,4.497737,1.096996,0.186066,2.033102,5.4713e-05,0.000439,1.065592,0.325296,1.423733,2.5028e-05,0.008119,0,20.164763,0.000416,1.065559
"90%",Females,6.125337,1.558486,0.273786,2.943784,7.7634e-05,0.000613,1.513871,0.471005,2.05848,3.4323e-05,0.011027,0,27.386072,0.000568,1.513841
"95%",Females,9.400691,2.422046,0.483606,5.225935,0.000129572,0.000965,2.35271,0.83615,3.202303,5.5849e-05,0.016981,0,42.174524,0.000929,2.352683
"97.5%",Females,13.692774,3.549787,0.804382,8.691354,0.000195082,0.00148,3.448167,1.390617,4.59217,7.9001e-05,0.024513,0,60.882025,0.001392,3.447979
"99%",Females,21.231201,5.383691,1.233208,14.119457,0.000354737,0.002282,5.22957,2.259113,7.392643,0.000146674,0.03885,0,96.490089,0.00207,5.229529
"99.5%",Females,29.409305,7.249787,1.884819,21.675788,0.000533459,0.003109,7.042246,3.468126,9.799574,0.000213101,0.05372,0,133.422949,0.002998,7.042199
"mean",Females,2.43930833464412,0.619640799646087,0.114694161423516,1.2633025194652,3.2652029296107e-05,0.000245186787259143,0.601902174990169,0.20212840129768,0.804275764648054,1.44870395202517e-05,0.00437024439638223,0,10.8541616285883,0.000227726700747149,0.601854968541093
"sd",Females,4.9422053165193,1.31984247471074,0.361938325554531,4.81756759696405,9.28313847263189e-05,0.000549416882008919,1.28205899289742,0.770810820397006,1.78866339856444,3.80875450417274e-05,0.00906436383345537,0,22.5126755816911,0.000456384629250303,1.2820139500479
"0.5%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Females_Repro,0.020342,0.004806,6.1e-05,0.000443,8.5e-08,2e-06,0.004669,7.1e-05,0.004736,7.7e-08,0,0,0,1.3e-05,0.004664
"20%",Females_Repro,0.087216,0.020616,0.000232,0.001814,3.99e-07,8e-06,0.020026,0.00029,0.020422,3.67e-07,0,0,0,2.2e-05,0.020006
