"","","exp.dermal","exp.ingest","exp.inhal","dose.inhal","dose.intake","abs.dermal.ug","abs.ingest.ug","abs.inhal.ug","abs.tot.ug","abs.tot.mgkg","ddd.mass","conc.max.prod.aer","conc.max.prod.vap","exp.inhal.indir","abs.hm.ug"
"Statistic",Cohort,ug/day,ug/day,ug/m3,ug/day,mg/kg/day,ug/day,ug/day,ug/day,ug/day,mg/kg/day,g/day,ug/m3,ug/m3,ug/m3,ug/day
"0.5%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Total,0.0170701445816321,0.00398136701962481,4.80955494605364e-05,0.000292690202252142,6.64247172078232e-08,1.45163876350456e-06,0.0038673913548443,4.68304323603427e-05,0.00398067440286352,5.82128697990183e-08,0,0,0,1.03059673984402e-05,0.00386335455873068
"30%",Total,0.0951729413488385,0.0221919726700943,0.000251965221542668,0.00160396684335019,4.13500157104895e-07,8.79642598706684e-06,0.021556677098147,0.00025663469493603,0.023300074747224,3.75085097035027e-07,0,0,0,2.19239013855256e-05,0.0214936564409059
"40%",Total,0.614358536900762,0.148571261544018,0.0136197941584886,0.136293743482708,5.19098220797409e-06,5.04605439929363e-05,0.144318072069576,0.0218069989572333,0.185423723674419,2.79763127265633e-06,0.0010706,0,2.6589897385395,4.85399612565853e-05,0.144316750116846
"50%",Total,1.04452868214451,0.257067034874908,0.0287353124165928,0.296933286823664,9.78572296146087e-06,9.16246573426643e-05,0.249707907708635,0.0475093258917863,0.324442573928004,4.98548906988739e-06,0.0018434,0,4.57833829440556,7.91947072511706e-05,0.24970467113722
"60%",Total,1.58165153156671,0.384005349256346,0.0475189308859738,0.510868325571472,1.5443709146245e-05,0.000141406762236966,0.37301232481398,0.0817389320914356,0.49776843757647,7.60991030288002e-06,0.0028051,0,6.96701020733841,0.000125129501278683,0.372947839748383
"70%",Total,2.271356761086,0.568704793177023,0.0787799336530467,0.859648693043077,2.4108631333426e-05,0.000214933347769097,0.55242432806373,0.137543790886892,0.732774650428189,1.16331938845001e-05,0.0040699,0,10.1082246026966,0.000187021118229398,0.552411415010041
"75%",Total,2.80554908703233,0.705942653506085,0.102870855330062,1.13994139497718,3.08980266922922e-05,0.000266218873199487,0.685733443243963,0.182390623196349,0.909224941515119,1.4463442287183e-05,0.0049788,0,12.3656323944135,0.000238137282615602,0.685680436051567
"80%",Total,3.54315954997429,0.876489115520935,0.138384081696796,1.53800401783582,4.0285262564615e-05,0.000337000314233115,0.85139762580849,0.246080642853732,1.13888422919144,1.83338253102362e-05,0.0063561,0,15.7862870355529,0.000307173113266686,0.851381992198318
"85%",Total,4.52151423340655,1.13030547737874,0.188094344411175,2.16775595250316,5.42583120568848e-05,0.000446050762001238,1.09794791839102,0.346840952400506,1.48734239063164,2.3942270959231e-05,0.0081804,0,20.3173514467647,0.000402172837945061,1.09794325755545
"90%",Total,6.18261056961401,1.55848597250457,0.271358893502382,3.17391218013947,7.67195014141714e-05,0.0006184241216011,1.5138707752892,0.507825948822316,2.06826512629162,3.3087946733477e-05,0.011129,0,27.641540502432,0.000548675410614762,1.51384125856288
"95%",Total,9.48040194036211,2.43679767234562,0.476379079332747,5.51612010108827,0.000126987046023329,0.000966775240364771,2.36703880980615,0.882579216174124,3.2372476006453,5.4340763902209e-05,0.017315,0,43.0052819674709,0.000901682059513017,2.36701646252535
"97.5%",Total,13.6739329191047,3.48968629888237,0.744192437941486,8.55824680144534,0.000193206198426759,0.00141330939591445,3.38978611037173,1.36931948823125,4.5863162427891,7.83957004328803e-05,0.024513,0,60.8820252599403,0.00134976044468694,3.3890586863959
"99%",Total,20.5511214724996,5.11350840647134,1.21228987386806,13.5094051276015,0.000335081672604068,0.00218936395664393,4.96712262562886,2.16150482041624,7.05791746112112,0.000135219724213737,0.036958,0,91.7918328365097,0.00207045205602027,4.96702715551328
"99.5%",Total,26.5338990802742,6.98817399007093,1.60890288884262,19.5345245375274,0.000501938226736726,0.00279730321150784,6.78812165322426,3.12552392600439,9.04656081127129,0.000196363284612264,0.048733,0,121.034629152037,0.0029469240982502,6.7880901378785
"mean",Total,2.41390922808265,0.611029828853455,0.109610888077759,1.26999410225474,3.14341560609987e-05,0.000240941641025553,0.593537713557121,0.203199056360759,0.796977711558906,1.3842467369307e-05,0.004341796948,0,10.7835127488804,0.00022278781060373,0.593495629506408
"sd",Total,4.51461418205553,1.18181236300631,0.302742865035567,4.00702872287934,8.19673577878862e-05,0.000496279091200361,1.14798030254679,0.641124595660694,1.58361447850238,3.44297071712267e-05,0.00827753476280266,0,20.558487755148,0.000460473474658593,1.14793901114589
"0.5%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Males,0.0156508575304224,0.00383116940749992,4.3151171167848e-05,0.000272924102436717,6.28046328906677e-08,1.47980031093115e-06,0.00372149349016946,4.36678563898747e-05,0.00394955640808025,5.44310821576268e-08,0,0,0,1.00507299870737e-05,0.00371940928864214
"30%",Males,0.109130482086149,0.024869732214851,0.000316789289677084,0.00179898988721429,4.56903690463214e-07,9.53688176882456e-06,0.0241577797000165,0.000287838381954287,0.0246382775130722,3.87641878670955e-07,0,0,0,2.03059517116727e-05,0.0241475158215632
"40%",Males,0.639557774060522,0.160424841384746,0.0152779771023189,0.152324072306038,5.39780342459915e-06,5.39870622581377e-05,0.155832316291227,0.0243718515689661,0.203388893985173,2.84605390505877e-06,0.0011264,0,2.79755900809623,4.6087359319008e-05,0.155831885914329
"50%",Males,1.06928619484901,0.262981498412897,0.0300933672151605,0.320643902206334,9.62490793364415e-06,9.3548026776191e-05,0.25545305630775,0.0513030243530135,0.340171179993775,4.7333596257881e-06,0.0019161,0,4.75881667224456,7.71655671640209e-05,0.25545305630775
"60%",Males,1.58732844628041,0.391549335439061,0.0491068747986468,0.555152882454404,1.49829486142412e-05,0.000143546673234823,0.380340347274679,0.0888244611927047,0.51064787956347,7.1622534662647e-06,0.0028145,0,6.99011624007922,0.000120234471119251,0.380299002023499
"70%",Males,2.27784551061074,0.58044856496445,0.0806045631668192,0.931755289923025,2.34685933939852e-05,0.000220097915014304,0.563831907736765,0.149080846387684,0.743241185539665,1.10488226703031e-05,0.0041339,0,10.267178968585,0.00018177268422301,0.563782970266685
"75%",Males,2.85610615310114,0.709048668491979,0.106287271463097,1.21902524689832,3.01084928085705e-05,0.000269839113979048,0.688750541503243,0.195044039503731,0.941222112776415,1.40631456986101e-05,0.0051184,0,12.7122668528647,0.000231283721090496,0.688743817372874
"80%",Males,3.58326844410281,0.889561825561045,0.140310782491641,1.65850343036729,3.87883396951641e-05,0.000340478172307086,0.864096099861322,0.265360548858766,1.18092163886037,1.75460765230132e-05,0.0065636,0,16.3017776220399,0.00029846314733834,0.864090932615136
"85%",Males,4.53677993559207,1.16372297527144,0.189511971681549,2.29427430470493,5.34084793829549e-05,0.000453698699192102,1.13040876458121,0.367083888752789,1.53828938104044,2.27545981474941e-05,0.008272,0,20.5447597911504,0.000389587321966207,1.13035483008858
"90%",Males,6.21486795938552,1.55614746482725,0.269612473083542,3.43236466914025,7.59675368052679e-05,0.000625683236827844,1.51159921270029,0.54917834706244,2.07768453611257,3.11223324035799e-05,0.011286,0,28.0313921551365,0.000532304069188021,1.51159415633008
"95%",Males,9.67944779560092,2.46029838345879,0.467884477286806,5.76770314520106,0.000125031524086156,0.000966775240364771,2.38986675973987,0.922832503232169,3.25579285124164,5.28288899564617e-05,0.017794,0,44.1930508260448,0.000869229859189039,2.38983933849773
"97.5%",Males,13.4703870675714,3.44626656485876,0.680216490353379,8.46664688532343,0.000189329630889378,0.00134461888410136,3.34760936475526,1.35466350165175,4.57318674724354,7.78941663863489e-05,0.024268,0,60.2722108685201,0.00130906339125803,3.34753777252808
"99%",Males,19.9887309132734,5.00210606891131,1.18543815944705,13.4023164431613,0.000305688815300733,0.00201066598367867,4.85890943275679,2.14437063090581,6.562256429063,0.00012723805001058,0.035546,0,88.2847796538889,0.00207045205602027,4.85890584453889
"99.5%",Males,24.4100470301446,6.21390766608859,1.46795413577248,18.4003785175601,0.000428048468432118,0.0025809407303747,6.03602045959992,2.94406056280961,8.28712578318368,0.000183786902772868,0.045595,0,113.242133773974,0.00290251903945155,6.03600893444686
"mean",Males,2.38762110417219,0.602117456847237,0.104349694653506,1.27691990136118,3.01736542317098e-05,0.000236545333744184,0.584880478422027,0.204307184217789,0.78942420797356,1.31753288763057e-05,0.00431235463776964,0,10.7103910187029,0.000217674189352612,0.584843698497434
"sd",Males,4.02483709508201,1.01951755705737,0.225596711761846,2.94217016233723,6.89303238515409e-05,0.000434508272508209,0.990331553670026,0.470747225973957,1.33885880832651,3.01699825019731e-05,0.00737610975635124,0,18.3196915091375,0.000464660019339441,0.990294567541374
"0.5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Females,0.0178491089372305,0.00405831911426888,5.03019675526791e-05,0.000313606859179636,7.12455269472572e-08,1.44272958095635e-06,0.00394214052117252,5.01770974687418e-05,0.00401130198401967,6.36807130620335e-08,0,0,0,1.07282575184287e-05,0.00393585787220591
"30%",Females,0.0837806424090417,0.0202477140518009,0.000197287719336047,0.00141393721007469,4.00277598880898e-07,8.20910497295856e-06,0.0196680772943846,0.00022622995361195,0.0198961947785537,3.66937590093646e-07,0,0,0,2.36671743476714e-05,0.0196597576420379
"40%",Females,0.580747318765844,0.137464436616652,0.0121912007040472,0.120002392088631,5.05858677243389e-06,4.71596556778744e-05,0.133529205207482,0.0192003827341809,0.172199884620486,2.74507676383465e-06,0.0010089,0,2.50567560431645,5.03019675526791e-05,0.133526130269458
"50%",Females,1.01440055043296,0.250564979513843,0.0273744374506762,0.270645840357309,1.00047278747329e-05,8.82243999413117e-05,0.243391988435644,0.0433033344571695,0.311808820338639,5.27232194896831e-06,0.0017671,0,4.38884979646528,8.20296914296661e-05,0.243385167830243
"60%",Females,1.57651246466803,0.379522350773412,0.0457685584048756,0.473930945996132,1.58802151021208e-05,0.000139417274700458,0.368657662334681,0.0758289513593812,0.482632549234153,8.1637195683287e-06,0.0027924,0,6.93534030189557,0.000129431798521875,0.368657026972334
