"","","exp.dermal","exp.ingest","exp.inhal","dose.inhal","dose.intake","abs.dermal.ug","abs.ingest.ug","abs.inhal.ug","abs.tot.ug","abs.tot.mgkg","ddd.mass","conc.max.prod.aer","conc.max.prod.vap","exp.inhal.indir","abs.hm.ug"
"Statistic",Cohort,ug/day,ug/day,ug/m3,ug/day,mg/kg/day,ug/day,ug/day,ug/day,ug/day,mg/kg/day,g/day,ug/m3,ug/m3,ug/m3,ug/day
"0.5%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85%",Total,2.73032496036221e-45,6.07097022297455e-46,1.72962241840814e-47,1.49141309819976e-46,2.10787398648997e-50,2.40464489207836e-49,5.89717492512446e-46,2.38626095711962e-47,1.45165013188454e-45,1.9767407728511e-50,0,0,0,1.16718342409225e-47,5.89029342391692e-46
"90%",Total,3.15401614718388e-17,7.28581130721388e-18,8.6637783281913e-20,6.43622804229243e-19,1.1520700827865e-22,2.84435602729779e-21,7.0772384268158e-18,1.02979648676679e-19,7.64578283307134e-18,1.00422730752075e-22,0,0,0,8.06520147094742e-20,7.06934916254344e-18
"95%",Total,1.17791605795699e-06,2.90155801796222e-07,3.36100916409262e-09,2.88806252147013e-08,4.72159337899691e-12,1.15145336866629e-10,2.81849433597401e-07,4.6209000343522e-09,2.87763709297993e-07,4.00984645400653e-12,0,0,0,1.71802567633225e-09,2.81628693541943e-07
"97.5%",Total,0.00156301269501453,0.000371754301730805,4.77089648684584e-06,3.81041964550817e-05,6.33938814311478e-09,1.43741326966108e-07,0.00036111199132186,6.09667143281307e-06,0.000367747682726267,5.62145821015674e-09,0,0,0,2.10918560085287e-06,0.000360750301628633
"99%",Total,0.127150765696359,0.0347669161147064,0.000312174418711761,0.00237751283119962,5.98973424721263e-07,1.41686149108167e-05,0.033771634253725,0.000380402052991939,0.0344014605558761,5.08771865957529e-07,0,0,0,0.000157791382489327,0.0335842294377095
"99.5%",Total,0.898404004235536,0.242815960782348,0.00219195769406457,0.019897914113811,3.74182271259035e-06,0.000105008188085079,0.235864802948099,0.00318366625820976,0.248829911255204,3.35110730214573e-06,0,0,0,0.000600914699762423,0.235626904293679
"mean",Total,0.0978046231879958,0.0250737409243764,0.225397096071147,2.57314291245586,3.96611858571502e-05,1.02089470015821e-05,0.0243559481973297,0.411702865992938,0.43606902313727,6.67259473082262e-06,0.00014521925,0.911093858951388,0.412266067732091,7.26489959439282e-05,0.0243511978557356
"sd",Total,2.02755837277693,0.521856025051757,7.70290009765122,89.1088081654154,0.00145817063515519,0.000219522956951456,0.506916712227341,14.2574093064665,14.5651849628032,0.000237710648384475,0.00332055939547726,33.8957666247362,9.41386549546992,0.00355615043984732,0.506899227521424
"0.5%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85%",Males,1.26213503157103e-44,3.49536041844137e-45,3.38229873829123e-46,3.5078204600754e-45,1.4979337479336e-49,1.64635051306437e-48,3.3952977953836e-45,5.61251273612064e-46,1.06607901988981e-44,1.37633450621128e-49,0,0,0,3.38229873829123e-46,3.39359603015587e-45
"90%",Males,5.06582243748174e-17,1.24726441680092e-17,1.43078298765789e-19,1.15405186507441e-18,2.24306634263046e-22,4.38314577854417e-21,1.21155864278882e-17,1.84648298411906e-19,1.52138992938083e-17,2.01825105261935e-22,0,0,0,1.0391785210732e-19,1.21062337063309e-17
"95%",Males,6.2920296238314e-07,1.77748191152176e-07,2.09520477241577e-09,2.17917212424163e-08,2.60030562299539e-12,5.99260769702122e-11,1.72659745864353e-07,3.4866753987866e-09,1.73026452010061e-07,2.32434313512768e-12,0,0,0,1.15259333820608e-09,1.72517218193516e-07
"97.5%",Males,0.00116870619218692,0.000251235365035418,4.36583501695392e-06,4.21207518393493e-05,5.5661774801217e-09,1.3162863860044e-07,0.000244043182650539,6.73932029429588e-06,0.000281385412018468,4.30784283183965e-09,0,0,0,1.94843148302741e-06,0.000243717454486366
"99%",Males,0.169688997097286,0.042700847903741,0.00043045808924089,0.00443575553373768,7.81388129054196e-07,1.64912082156665e-05,0.0414784392429642,0.000709720885398028,0.0419467759560088,6.24477134616856e-07,0,0,0,0.000205672513728874,0.0414274066533213
"99.5%",Males,1.19385891078584,0.258323943395396,0.00245007865732982,0.0222001982391749,4.65157447615792e-06,0.000148945661334249,0.250928834370761,0.00355203171826799,0.266863004156849,4.01212955348863e-06,0,0,0,0.000820728787042992,0.25074254511893
"mean",Males,0.0926911888264945,0.0233879400080311,0.21757501809841,2.92810129650412,3.84502102981323e-05,9.99316891100831e-06,0.0227184071573487,0.468496207440659,0.491224607766919,6.41933103554678e-06,0.000134633935742972,0.932994343285977,0.387216457300301,7.51163973301355e-05,0.0227156997051393
"sd",Males,1.68568781871923,0.42349305862187,5.78458461880443,87.0660403572464,0.00109202793753963,0.000193063488540697,0.411369608900093,13.9305664571594,14.1895149694221,0.000177774657249685,0.00274710037565493,28.5572125074153,7.82130323233163,0.00339265650203805,0.41136409184808
"0.5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85%",Females,2.4681581080171e-47,8.48659385287563e-48,8.98624188008602e-50,5.4254878115218e-49,1.0582532205433e-52,1.44703691098152e-51,8.24364584749559e-48,8.68078049843488e-50,8.33190068939092e-48,9.76069282760547e-53,0,0,0,4.8357646320446e-50,8.23879831892422e-48
"90%",Females,1.52771008414049e-17,4.299450182073e-18,4.13966102957412e-20,3.59298140233326e-19,7.86883921427018e-23,1.13937767322395e-21,4.17636866502696e-18,5.74877024373321e-20,4.22102756217326e-18,7.39027346660509e-23,0,0,0,2.91584169443434e-20,4.17402429816839e-18
"95%",Females,1.34579161559233e-06,4.19418762990209e-07,4.58792300025701e-09,3.60546364514083e-08,7.7075644758697e-12,1.63419932637907e-10,4.07411949225591e-07,5.76874183222532e-09,4.2431360096252e-07,6.79375250015489e-12,0,0,0,2.35120979107331e-09,4.06538440475629e-07
"97.5%",Females,0.00188448652448381,0.000450108095958992,4.8253359504765e-06,3.76086930221238e-05,7.38929561710433e-09,1.73488134227834e-07,0.000437222730403105,6.01739088353981e-06,0.000446024177212028,6.67395696511316e-09,0,0,0,2.9759764054135e-06,0.000436969500544891
"99%",Females,0.109737291468998,0.0320008838293532,0.000227994093339835,0.0018094253254315,4.83819546396332e-07,1.14949887411688e-05,0.0310847859187521,0.000289508052069041,0.0317334022340833,4.57497728044718e-07,0,0,0,0.000133189743531512,0.030903683317203
"99.5%",Females,0.632194903542499,0.164018306401882,0.00133700374375015,0.00969955076916263,3.15511453298301e-06,5.64853170570271e-05,0.159322910218566,0.00155192812306602,0.169615589293431,2.98663356508026e-06,0,0,0,0.000382192195172803,0.158258672593553
"mean",Females,0.102877313052593,0.0267461091640974,0.23315684672936,2.22101288206537,4.08625122085266e-05,1.04230057448206e-05,0.0259804411015339,0.355362061130459,0.381352925237737,6.9238403886859e-06,0.000155720219123506,0.88936788046807,0.437116079674385,7.02012551265353e-05,0.0259736641485582
"sd",Females,2.31756180963712,0.603844857388766,9.22027218987972,91.0973592034716,0.00174727711468063,0.000242960186598005,0.58655842820353,14.5755774725555,14.929737278734,0.000284993932636776,0.00380524812231221,38.4694995944993,10.7641351873879,0.00371156935779776,0.586532173880253
"0.5%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
