"person","gender","age","season","weekend","weight","exp.dermal","exp.inhal","exp.ingest","exp.diet","exp.nondiet","exp.drain","dose.inhal.ug","dose.intake.ug","dose.intake.mgkg","abs.dermal.ug","abs.inhal.ug","abs.ingest.ug","abs.tot.ug","abs.tot.mgkg","urine.tot.ug","exp.window","conc.inhal.max.prod.aer","conc.inhal.max.prod.vap","exp.inhal.indir","abs.hm.ug"
"1","F","22","W","1","66.259","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","M","73","P","1","85.03","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","53.57279","0","0","0","0"
"3","F","62","S","0","67.593","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","M","1","W","0","12.15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.006345","0","0","0","0"
"5","F","31","P","1","44.774","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","F","55","P","0","70.456","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","F","33","F","0","55.465","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","F","35","F","0","100.856","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11.159712","0","0","0","0"
"9","M","53","W","0","85.028","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","M","69","F","1","80.105","3e-05","0","8e-06","0","0","0","0","8e-06","0","0","0","8e-06","8e-06","0","3e-06","0.007588","0","0","0","8e-06"
"11","M","11","P","0","23.792","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","F","11","W","0","30.452","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","M","91","F","1","84.709","0.295872","0.002049","0.07219","0","0.000102","0","0.020331","0.092614","1.093e-06","4e-05","0.003253","0.070124","0.073417","8.67e-07","0.032236","310.14704","0","0","0.002049","0.070024"
"14","M","46","F","0","85.792","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.003202","0","0","0","0"
"15","M","40","W","0","116.976","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","F","7","W","0","21.809","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","M","27","F","1","70.835","0.001355","2e-06","0.000397","0","0","0","2.6e-05","0.000423","6e-09","0","4e-06","0.000386","0.00039","6e-09","0.000174","0.95683","0","0","2e-06","0.000385"
"18","M","57","F","0","73.204","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","F","54","W","0","71.332","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","F","26","P","0","57.226","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21","F","10","W","0","30.907","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22","F","2","W","0","13.667","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.7e-05","0","0","0","0"
"23","M","15","S","0","57.691","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000143","0","0","0","0"
"24","F","50","W","0","65.948","11.702906","7.622968","2.821857","0","0","0.022013","71.740441","74.564555","0.001130664","0.00123","11.478471","2.741075","14.220775","0.000215638","5.207178","0.121128","0","54.672639","0","2.741075"
"25","F","3","F","0","12.395","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26","M","77","W","1","76.103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"27","F","51","S","1","50.646","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"28","F","4","F","1","19.979","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"29","F","36","F","0","58.818","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30","F","24","F","0","57.23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"31","F","15","W","0","50.023","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32","M","45","F","0","85.096","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"33","M","25","S","0","83.069","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","89.434182","0","0","0","0"
"34","F","71","P","1","61.055","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35","M","9","F","0","34.865","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.607189","0","0","0","0"
"36","F","31","P","0","63.903","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1e-06","0","0","0","0"
"37","M","49","F","1","88.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001207","0","0","0","0"
"38","M","32","S","0","62.489","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"39","M","44","S","0","88.258","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40","F","34","S","0","42.101","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.5e-05","0","0","0","0"
