"","","exp.dermal","exp.ingest","exp.inhal","dose.inhal","dose.intake","abs.dermal.ug","abs.ingest.ug","abs.inhal.ug","abs.tot.ug","abs.tot.mgkg","ddd.mass","conc.max.prod.aer","conc.max.prod.vap","exp.inhal.indir","abs.hm.ug"
"Statistic",Cohort,ug/day,ug/day,ug/m3,ug/day,mg/kg/day,ug/day,ug/day,ug/day,ug/day,mg/kg/day,g/day,ug/m3,ug/m3,ug/m3,ug/day
"0.5%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80%",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85%",Total,3.30670981546653e-90,7.60061774818331e-91,1.82640926756051e-90,1.26678456401008e-89,5.57051490315771e-93,2.93828844877208e-94,7.38303281910701e-91,2.02685530241613e-90,2.29141953220605e-88,5.17646165621337e-93,0,0,0,1.82640926756051e-90,7.3741062946258e-91
"90%",Total,1.14049074639248e-23,2.98844938679724e-24,6.88138397960051e-26,6.27057370160203e-25,7.69187261376144e-29,1.32118354803855e-27,2.90289824221695e-24,1.00329179225632e-25,4.59940555462509e-24,7.36222820360782e-29,0,0,0,5.16878149567892e-26,2.90017830503226e-24
"95%",Total,5.34523196592166e-10,1.27921490347546e-10,1.71564983853092e-12,1.29490175566512e-11,2.12573715373537e-15,3.81339646415333e-14,1.24259447428567e-10,2.07184280906418e-12,1.31539619122868e-10,1.81680798035172e-15,0,0,0,8.93229028092511e-13,1.24153117710863e-10
"97.5%",Total,2.26742524436379e-05,5.99643540430933e-06,5.78523060607977e-08,4.76390633092817e-07,8.59509173636899e-11,2.09724781762926e-09,5.82477383476531e-06,7.62225012948507e-08,6.00399857128268e-06,7.77225362678216e-11,0,0,0,3.68633486869771e-08,5.82055875816951e-06
"99%",Total,0.0105549969406014,0.00251077845246909,3.47971648458953e-05,0.00027134106445243,5.36379679044578e-08,1.06303759557622e-06,0.00243890172223392,4.34145703123888e-05,0.00249692072008582,4.72869081496718e-08,0,0,0,1.53750369813017e-05,0.00243787029179729
"99.5%",Total,0.114064080276724,0.0262080086325776,0.000344347790533441,0.00267733128682899,4.71643617810147e-07,1.12541024504436e-05,0.0254577449186955,0.000428373005892639,0.0267638742649513,4.1715675166227e-07,0,0,0,0.000139537449237234,0.0254356134102806
"mean",Total,0.0193013805803234,0.00445576840658973,0.00648361034273012,0.0782543387985373,1.23961755338045e-06,1.94089734893393e-06,0.00432821192567606,0.012520694207766,0.016850847030791,2.54294983746113e-07,3.386661e-05,0,0.0841127625656383,3.3507916560866e-06,0.0043274200202788
"sd",Total,0.606938141751738,0.129690896663211,0.203226683424638,2.50249647430134,3.88789174279439e-05,6.42527021144387e-05,0.125978200473609,0.400399435888214,0.512262210566698,7.64747414881096e-06,0.00113997071129761,0,2.83129582566438,5.91799170593116e-05,0.125977205063617
"0.5%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80%",Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85%",Males,6.90718896655708e-106,1.85945565262596e-106,3.9447092210514e-101,4.74701947515257e-100,3.54452735229674e-104,8.27577328468157e-110,1.80622451540769e-106,7.59523116024411e-101,2.57271108916352e-99,3.37326824259707e-104,0,0,0,3.9447092210514e-101,1.80410400345542e-106
"90%",Males,3.07131363947825e-24,7.45639360313703e-25,2.96505606049618e-26,2.80306827252735e-25,3.12820581695491e-29,2.94339568803205e-28,7.24293741746169e-25,4.48490923604376e-26,2.37690114014284e-24,2.82458579751866e-29,0,0,0,2.61331933496796e-26,7.23503840190369e-25
"95%",Males,5.44820281152215e-10,1.43482098509326e-10,2.52233596825227e-12,2.75600037593987e-11,2.21043450733045e-15,4.41605683578706e-14,1.39374597874219e-10,4.40960060150379e-12,1.47322851748905e-10,1.80298980553893e-15,0,0,0,7.7378857329887e-13,1.3929863380747e-10
"97.5%",Males,2.26742524436379e-05,5.9960256049689e-06,6.25923022262741e-08,5.26997040002539e-07,8.07877743916923e-11,2.09724781762926e-09,5.82437576686086e-06,8.43195264004062e-08,5.85796663376907e-06,7.22598926139751e-11,0,0,0,4.21966795554772e-08,5.82020942708075e-06
"99%",Males,0.0104903650104417,0.00246123046436248,3.47987455459513e-05,0.000372184375314703,4.12593631677877e-08,9.22347797529256e-07,0.00239077215771277,5.95495000503525e-05,0.00245080950134407,3.47060846139882e-08,0,0,0,1.47756916122069e-05,0.00238855682275694
"99.5%",Males,0.0803043522987595,0.0239000509002546,0.000344347790533441,0.00291688156355791,3.62087773280942e-07,6.99561372899372e-06,0.0232158577132871,0.000466701050169266,0.0237479830638178,3.16594245256172e-07,0,0,0,0.000108314979648608,0.0231998309727319
"mean",Males,0.0106167941308774,0.00250584165449081,0.00412074876730472,0.0611061594773759,8.73722499735254e-07,7.77077723125095e-07,0.00243410625129952,0.00977698551638015,0.0122118688454028,1.68521526568597e-07,1.77320544554455e-05,0,0.044040013545683,3.88662025956693e-06,0.00243378403595462
"sd",Males,0.228109418221312,0.0538982738777443,0.126748834087797,2.11227031135725,3.14440526940194e-05,1.80660415019764e-05,0.0523553134911591,0.33796324981716,0.376858924364285,5.50061042539444e-06,0.000426941203279944,0,1.06036928420523,7.31791577571685e-05,0.052354529135436
"0.5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80%",Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85%",Females,3.35620421374667e-77,7.2833476155983e-78,6.71468422910413e-80,3.79385343973587e-79,1.34768454324262e-82,3.5016543710748e-81,7.07484526396291e-78,6.07016550357739e-80,7.13455405378431e-78,1.25766072600678e-82,0,0,0,6.71468422910413e-80,6.99771105686626e-78
"90%",Females,3.99311362893752e-23,1.11050120713227e-23,1.88562794981502e-25,1.46336514345576e-24,2.68345509198588e-28,3.15962146209054e-27,1.07871059031684e-23,2.34138422952921e-25,1.12998002604362e-23,1.52234701770584e-28,0,0,0,1.3806573757575e-25,1.07777388543575e-23
"95%",Females,4.88009525266342e-10,1.23861969844327e-10,1.56729980125674e-12,1.1510163900158e-11,1.96256967252991e-15,3.40853213323978e-14,1.20316139910929e-10,1.84162622402527e-12,1.22938689957661e-10,1.81680798035172e-15,0,0,0,1.10668321244955e-12,1.2023061905411e-10
"97.5%",Females,1.89822021571036e-05,6.19669691601524e-06,5.45071803330827e-08,3.83099534134759e-07,9.51796489268321e-11,1.92879893272817e-09,6.01930240629914e-06,6.12959254615614e-08,6.02533946020252e-06,7.77225362678216e-11,0,0,0,3.08768063164214e-08,5.99135259017155e-06
"99%",Females,0.0138542356961033,0.00418457845284839,3.1296988820529e-05,0.000240774004730559,5.62737507508268e-08,1.07319119647848e-06,0.00406478539969889,3.85238407568894e-05,0.00410617465539847,4.97560972533389e-08,0,0,0,1.53750369813017e-05,0.00406105653375648
"99.5%",Females,0.12492144726197,0.0282735872631157,0.000298311732190916,0.00253239607417274,4.71643617810147e-07,1.22881045467707e-05,0.0274641916740733,0.000405183371867639,0.0276512429016173,4.37786713487951e-07,0,0,0,0.00016145005294172,0.0274316974592768
"mean",Females,0.0274735224877213,0.00629063736896852,0.00870704840904657,0.0943906690293196,1.5839225262205e-06,3.03604438812671e-06,0.00611055360063286,0.0151025070446911,0.0212160966897121,3.35007274195763e-07,4.9049126552795e-05,0,0.121820970494354,2.84658026833958e-06,0.00610931971981367
"sd",Females,0.816074747292354,0.172943746356715,0.255039923193427,2.82093792050242,4.47616350082192e-05,8.77745856493063e-05,0.167992839202594,0.451350067280387,0.612951053671309,9.22187726089719e-06,0.0015331753415888,0,3.80788270576445,4.19386081593051e-05,0.167991629883915
"0.5%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.5%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50%",Females_Repro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
